PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,RunValue,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,ff_diff,ivb_diff,hb_diff,Stuff+,xBA,xWOBA,Good Swing Decision,PitchType_Changeup,PitchType_Curveball,PitchType_Cutter,PitchType_Fastball,PitchType_Sinker,PitchType_Slider,PitchType_Knuckleball,PitchType_Splitter
61,07/13/2025,8:11:12 PM,3,3,Logan Elsbury,,Left,Kcl bluecaps 2025,Owen Shissler,,Left,Kcl merchants 2025,Stretch,2,Bottom,2,0,2,Sinker,,BallCalled,,,,,,,83.17718382043414,-0.3838950312873593,-5.216085843119026,1960.992760604837,203.978530631558,12:45,5.232001524429804,5.0378070890040885,6.000000192000004,-19.99998312501215,21.3493724557676,8.16450607981176,3.207057564173571,-0.8569482210982721,74.41566920366783,-4.168298240922247,-3.674740203796184,0.4628133685396243,,,,,,,,,,,,-6.17840786133183,11.67699763851698,-4.6164848967690695,49.99999999999993,5.189015793495013,10.747446900033038,-120.4135596172084,-1.4106488746712866,-8.888445911399474,27.77538522235048,-15.375164784774798,KCL Merchants 2025,KCL BlueCaps 2025,,,,a14bd0b5-30e4-4e34-aac9-45d44e1a94de,e0eddd9e-2957-4a3f-9a2f-272a108853c5,83.42864180969762,5.234309244426052,5.041998114469965,-0.4128671639498474,-5.265935568814883,74.6243354516682,3.206108418557925,0.8536325887595458,-4.181147642098799,-3.724951964436056,0.4626035013900282,8.63506438816755,20.20317538522608,-15.835379762505022,74.66199124412115,1886.5724542500136,-535.1046458494453,96.20496781783784,-0.8790226766229973,-0.2728743606806589,-0.3909715044164509,,,,,,,,,,,,,,,,,0.995217723143178,0.0,,,medium,high,22.804207880290885,24.43750011111356,54.667001749344,Josh  Eisfelder,,Kcl bluecaps 2025,2022-11,0.0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,,,101.64003,0.0,,-2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
62,07/13/2025,8:11:36 PM,3,4,Logan Elsbury,,Left,Kcl bluecaps 2025,Owen Shissler,,Left,Kcl merchants 2025,Stretch,2,Bottom,2,1,2,Sinker,,BallCalled,,,,,,,83.31395455129052,0.0642786780295035,-2.5413418664930187,,,,3.71813906800238,3.650434078393475,6.000000192000004,,,,0.542252179485918,-1.2869769082985785,74.76989895361753,-7.281372911923635,-2.5413418664930774,,,,,,,,,,,,,,,,,,,,,,,,KCL Merchants 2025,KCL BlueCaps 2025,,,,a14bd0b5-30e4-4e34-aac9-45d44e1a94de,91d84d9a-ff1e-43e2-9680-9efa472fa589,83.53929887028407,3.7115965529777664,3.650434078393477,0.1416323566193959,-2.541341866493039,74.94126020921115,0.5482966626723854,1.286976908298587,-7.190082649245615,-2.541341866493037,0.4613601932214067,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,low,high,,,54.667001749344,Josh  Eisfelder,,Kcl bluecaps 2025,2022-11,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,176.07578,0.0,,-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
63,07/13/2025,8:12:00 PM,3,5,Logan Elsbury,,Left,Kcl bluecaps 2025,Owen Shissler,,Left,Kcl merchants 2025,Stretch,2,Bottom,2,2,2,Slider,,BallCalled,,,,,,,80.51494256179258,-0.8830645488205301,-6.751712622561529,2052.695094407088,180.6172605283548,12:00,5.266518162173652,4.157155161387688,6.000000192000004,-30.91235175079668,13.611802199507904,-1.1491376802933666,1.863977218600479,2.2428128025678378,72.27507141252997,-6.690396093191388,-6.967238955831996,0.4802521970064345,,,,,,,,,,,,-1.732707737088291,7.677066689746677,-3.603973903323421,50.00000000000001,5.176225440866004,13.789201699211796,-116.19410396785716,-2.6966109154084927,-2.313028340317997,26.55180801695626,-21.925770292381017,KCL Merchants 2025,KCL BlueCaps 2025,,,,a14bd0b5-30e4-4e34-aac9-45d44e1a94de,ace57b58-1261-480c-b761-8520482f5d8f,80.75808233102727,5.264393846724135,4.159788694713043,-0.8590541899211496,-6.783213770334302,72.47234614144202,1.866707108129825,-2.2447646918712296,-6.648304012607011,-6.996092441460611,0.4800329280020299,-0.847891870312967,11.735433419299216,-66.72906166991118,66.80083217317828,810.9779282254073,-1885.7019781858824,39.50795860695788,-0.3950566593382498,-0.9186468966208344,-0.0042562003491044,,,,,,,,,,,,,,,,,0.9963592062108428,0.0,,,medium,high,29.879251044139536,66.00521093937711,54.667001749344,Josh  Eisfelder,,Kcl bluecaps 2025,2022-11,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,142.99939,0.0,,-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
64,07/13/2025,8:12:28 PM,3,6,Logan Elsbury,,Left,Kcl bluecaps 2025,Owen Shissler,,Left,Kcl merchants 2025,Stretch,2,Bottom,2,3,2,Sinker,,Foul,,,,,,,83.73605180033518,2.2388069768354675,-3.3683965837548064,,,,3.7628315606201466,3.436790935554244,6.000000192000004,,,,2.636326180262826,-0.3026128264567778,74.79004512567239,-5.071530570654623,-3.368396583754746,,72.8935666736535,24.112775213693496,-77.67908699532238,,-107.36206482171887,23.94550139779141,27.686972961278983,198.6773707011182,,-77.53941735713867,2.5586398421688816,,,,,,,,,,,,KCL Merchants 2025,KCL BlueCaps 2025,,,,a14bd0b5-30e4-4e34-aac9-45d44e1a94de,f297e337-5ba0-4776-b7af-998c3c8466ff,83.97418154850645,3.756149806006956,3.436790935554236,2.316098214861676,-3.368396583754768,74.96825812162864,2.642295158315505,0.3026128264567767,-4.980939902489821,-3.3683965837547696,0.4596873855829748,,,,,,,,,,,-65.00069389019683,14.197298390340569,29.77949923378381,-0.3088207703070887,0.635272927558177,2.634471177113645,-193.9974613485225,42.86820055750005,,,,,,,,,,0.0,,30.62251937699016,low,high,,,54.667001749344,Josh  Eisfelder,,Kcl bluecaps 2025,2022-11,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,180.49384,0.0,,-2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
65,07/13/2025,8:12:56 PM,3,7,Logan Elsbury,,Left,Kcl bluecaps 2025,Owen Shissler,,Left,Kcl merchants 2025,Stretch,2,Bottom,2,3,2,Slider,,Foul,,,,,,,74.24052568855944,1.0737844096079354,-5.015927638347577,2156.7432020258093,72.91408054964572,8:30,5.020016373342915,4.744103620591488,6.000000192000004,-49.08570212888853,3.167818594988965,-7.894713239210067,1.931463209971948,0.5875065411067919,66.72973412384871,-8.172946720213233,-6.506124577017498,0.5202706193960774,,,,,,,,,,,,2.4671490769812725,1.3284124325200342,-4.3299431293126025,50.00000000000002,5.079578711705527,9.639734194641097,-107.43642779385551,0.714715734952687,2.803274271686361,23.44496192382073,-30.664653810521298,KCL Merchants 2025,KCL BlueCaps 2025,,,,a14bd0b5-30e4-4e34-aac9-45d44e1a94de,fc624c73-440e-454c-ab51-9cffb8c03c06,74.44206078611201,5.010709589934903,4.74635322613843,1.1823385580551462,-5.042892458387612,66.87112985443923,1.939558485461636,-0.5888865899293891,-8.049256686136891,-6.52686325675597,0.5200623601773136,-7.635208725567723,0.024010676396303,-72.88608234307691,46.880721642025385,634.670162875706,-2061.245988192546,29.42724763335598,0.0864588509627442,-0.9557215649301394,0.2812848332521458,,,,,,,,,,,,,,,,,0.9887286103909404,0.0,,,medium,high,47.80735052217716,76.53437461512968,54.667001749344,Josh  Eisfelder,,Kcl bluecaps 2025,2022-11,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,101.68183,0.0,,-2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
66,07/13/2025,8:13:23 PM,3,8,Logan Elsbury,,Left,Kcl bluecaps 2025,Owen Shissler,,Left,Kcl merchants 2025,Stretch,2,Bottom,2,3,2,Sinker,,Foul,,,,,,,83.76832667582379,1.8594209462592624,-4.107345147248566,,,,3.800920272103306,3.937334421812577,6.000000192000004,,,,2.320750125915843,-0.1134412743523976,74.87338551459837,-5.445818846592092,-4.107345147248503,,,,,,,,,,,,,,,,,,,,,,,,KCL Merchants 2025,KCL BlueCaps 2025,,,,a14bd0b5-30e4-4e34-aac9-45d44e1a94de,2b842299-93dd-4f8e-8f4b-3c46b576074b,84.00538007391825,3.7942385050075806,3.937334421812576,1.936816665917448,-4.107345147248533,75.05016918265606,2.326626383211475,0.1134412743523966,-5.355581110286516,-4.107345147248535,0.4598145083874482,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,low,high,,,54.667001749344,Josh  Eisfelder,,Kcl bluecaps 2025,2022-11,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,199.23436,0.0,,-2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
67,07/13/2025,8:13:52 PM,3,9,Logan Elsbury,,Left,Kcl bluecaps 2025,Owen Shissler,,Left,Kcl merchants 2025,Stretch,2,Bottom,2,3,2,Sinker,,BallCalled,Walk,,Walk,0.0,0.0,,83.01859924162322,0.6410084109818924,-4.854454720571513,1888.903874566074,202.3093433153905,12:45,4.914596694536809,4.421998197935015,6.000000192000004,-20.7298547685798,20.786213864057007,7.267395514325205,3.7850275344431896,-0.5050881321686268,74.12460101520783,-3.2870997721587694,-3.4804988823728435,0.4637454195189961,,,,,,,,,,,,-5.591477562472954,11.026898303022952,-4.029836799400222,49.999999999999964,4.95500562739618,9.993848810213876,-120.23476486643628,0.7292601154448862,-8.009067227575443,27.987834571660443,-16.379446310959924,KCL Merchants 2025,KCL BlueCaps 2025,,,,a14bd0b5-30e4-4e34-aac9-45d44e1a94de,ae3cddc4-68be-45d9-9bec-3d374bc4a48d,83.2754477480011,4.916760158721516,4.426051851754602,0.6137624756708452,-4.902460883846644,74.33599453361033,3.784256413648309,0.501982554387651,-3.297535686322965,-3.5283718117994063,0.4635306649670837,7.720784558747872,19.55762605306672,-21.27909558377471,82.99599718098789,1760.125391485523,-685.5045248564451,93.18236968992748,-0.8620746688505732,-0.3629112810274274,-0.3537268259960029,,,,,,,,,,,,,,,,,0.9962402881216108,0.0,,,medium,high,15.303602537110898,-20.49928639833132,54.667001749344,Josh  Eisfelder,,Kcl bluecaps 2025,2022-11,0.695,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,96.667915,,0.695,-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
68,07/13/2025,8:15:29 PM,4,1,Logan Elsbury,,Left,Kcl bluecaps 2025,Gavin Kleist,,Left,Kcl merchants 2025,Stretch,2,Bottom,2,0,0,Sinker,,BallCalled,,,,,,,81.4606497765689,-1.212162903589052,-4.588990531728532,1929.9559763845543,200.5959257867057,12:45,4.859861652582011,4.847699160119832,6.000000192000004,-21.561095041119085,21.466973012039,6.651382280889745,1.9327353418263105,-1.1278590275293687,73.05844619633481,-5.286505043175183,-3.332018665354818,0.4721146160770095,,,,,,,,,,,,-5.140163219718333,12.017428073801664,-4.476958123610872,50.0,4.748298595322447,9.276988570840766,-118.0194555375655,-3.1399791017470684,-7.107134361539188,26.581952494559243,-15.557947655034136,KCL Merchants 2025,KCL BlueCaps 2025,,,,a14bd0b5-30e4-4e34-aac9-45d44e1a94de,5f197be1-cc17-424e-8159-e916f3f804ad,81.70644601392111,4.861829563831066,4.851399238262136,-1.237239066207818,-4.633436490007411,73.26346048660436,1.9320808385301047,1.1248981448312394,-5.294760223427859,-3.3767374375923045,0.4719003916376348,7.07036886998243,20.243822102357,-21.033072680720498,99.3103705253894,1801.369590983766,-692.674286704392,93.33734100807452,-0.8737164306872508,-0.3589067808696858,-0.3283375114008293,,,,,,,,,,,,,,,,,0.98013918934083,0.0,,,medium,high,0.620666527148081,29.643167622299128,54.667001749344,Josh  Eisfelder,,Kcl bluecaps 2025,2022-11,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,102.83963,0.0,,-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
69,07/13/2025,8:15:50 PM,4,2,Logan Elsbury,,Left,Kcl bluecaps 2025,Gavin Kleist,,Left,Kcl merchants 2025,Stretch,2,Bottom,2,1,0,Sinker,,Foul,,,,,,,82.48585675412417,-0.031795243345451,-7.301449326184638,2044.404658499476,198.06697285926865,12:30,4.9006905715266775,6.705556940652422,6.000000192000004,-19.501053882928115,22.8919883728522,6.450647612368874,3.245810788810216,-0.4202165914711129,73.706705170296,-3.710371962677077,-6.0927314304632985,0.4686178362561251,,,,,,,,,,,,-5.970060503709183,12.39326990327508,-6.111315832683571,50.000000000000014,4.8867863915764405,15.047986018522382,-118.93697897628311,-0.6447133613066399,-8.376589888001364,27.16717353961828,-14.785056746388625,KCL Merchants 2025,KCL BlueCaps 2025,,,,a14bd0b5-30e4-4e34-aac9-45d44e1a94de,d51595e6-f5b8-468c-a20f-280547c07b2e,82.74152955602301,4.903544835999328,6.708913903005573,-0.0672256315765203,-7.341047723361342,73.91829207233832,3.2445426696950648,0.4177024046407482,-3.7288871250863904,-6.132372609509645,0.4684054477821825,6.829113845088046,21.767710929712266,-15.965652188665828,95.27332158449948,1965.5453515634056,-562.3360904671226,96.14267622565728,-0.9140232865950284,-0.2750610492542402,-0.2981658108254175,,,,,,,,,,,,,,,,,0.9932704347654172,0.0,,,medium,high,4.254010573950267,-43.12199757504765,54.667001749344,Josh  Eisfelder,,Kcl bluecaps 2025,2022-11,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,91.612526,0.0,,-2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
70,07/13/2025,8:16:44 PM,4,3,Logan Elsbury,,Left,Kcl bluecaps 2025,Gavin Kleist,,Left,Kcl merchants 2025,Stretch,2,Bottom,2,1,1,Sinker,,InPlay,,Popup,Out,1.0,0.0,,82.16209224948794,0.2412432894123872,-5.821150289419813,2150.729237461376,203.28093012551912,12:45,4.936327865593715,5.306661348862171,6.000000192000004,-20.31949795565058,22.158438670384488,8.147744350125707,3.468409770380957,-0.5568077916747801,73.41104923870566,-3.6028653242187056,-4.285371936811504,0.4690868179213693,,,,,,,,,,,,-6.3823836796999815,11.903858391913891,-4.835582096057214,50.000000000000014,4.944313761512394,11.872410751356108,-118.82115273701464,-0.0989265550004553,-8.937074385471615,27.12850528835741,-15.505407702086204,KCL Merchants 2025,KCL BlueCaps 2025,,,,a14bd0b5-30e4-4e34-aac9-45d44e1a94de,9d580199-1c8e-4bb8-acc8-451936ce94fe,82.41459317760437,4.939010352411385,5.3110406950303215,0.2075687736710784,-5.873405675464291,73.6211745093628,3.4672039002693427,0.5533198223215235,-3.619434921609971,-4.337966325319894,0.4688712616294914,8.642238676316985,21.002335063122644,-19.73764712027137,85.88766857679936,2024.3714142200547,-726.3309370802596,94.12488466514417,-0.8646104649013072,-0.3377137969898935,-0.3720189985818124,,,,,,,,,,,,,,,,,0.9487809753410196,0.0,,,medium,high,12.701098280880489,-19.7027856931996,54.667001749344,Josh  Eisfelder,,Kcl bluecaps 2025,2022-11,0.0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,,,,100.315956,0.0,0.0,-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
71,07/13/2025,8:19:26 PM,1,1,Thomas Mickels,,Right,Kcl merchants 2025,Grayson Schnierle,,Right,Kcl bluecaps 2025,Stretch,3,Top,0,0,0,Sinker,,Foul,,,,,,,80.90088701554345,-0.893017170198295,-5.092811233223319,1903.65590473618,215.2058577199018,1:15,5.6030631119872645,3.08798940600299,6.000000192000004,-26.23911810434921,17.43956034178211,9.355425657815186,2.583148326288217,0.8781232038274525,72.58400225074446,-5.848751401639415,-3.326066119465372,0.475670553686499,,,,,,,,,,,,-6.771545853815297,9.731787933328498,-2.677482578787225,49.99999999999992,5.514822182397142,10.165740355673858,-117.13380934083985,-2.599734536543946,-9.223501563664309,26.169131403412457,-18.91841148532456,KCL Merchants 2025,KCL BlueCaps 2025,,,,a14bd0b5-30e4-4e34-aac9-45d44e1a94de,8aad8225-c3c3-4305-98d6-027641629fc4,81.14207860447162,5.603463405811619,3.0938011481169667,-0.8992624805014465,-5.162331974840797,72.77978210823346,2.583787237478304,-0.8826742400437451,-5.837398026396031,-3.394773783882425,0.4754609138661014,10.01266108108566,16.02893924835594,-35.40931525607151,96.9478056211442,1551.543527334161,-1103.0043002746606,81.50336011219333,-0.6659525137439288,-0.5794136942135673,-0.469879793559937,,,,,,,,,,,,,,,,,0.9900122264581176,0.0,,,medium,high,2.746974940969963,-79.28837086156811,54.667001749344,Gavin Kleist,,Kcl merchants 2025,2022-11,0.0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,55.780212,0.0,,-2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
72,07/13/2025,8:19:40 PM,1,2,Thomas Mickels,,Right,Kcl merchants 2025,Grayson Schnierle,,Right,Kcl bluecaps 2025,Stretch,3,Top,0,0,1,Slider,,BallCalled,,,,,,,67.85969552583653,4.22875828342109,1.2870186847378473,1547.73678225015,28.287459439536093,7:00,5.717371615888983,-0.7911167442473268,6.000000192000004,-76.8296816253649,-14.439014179704271,-9.856634066427882,3.2377915940608504,1.1756593110752815,60.742191311263525,-10.358537339183032,-4.969224747125476,0.5685011378624838,,,,,,,,,,,,5.802842522655228,-9.34478145166329,0.6919399602165559,49.99999999999997,6.018306936733264,-1.968430204265981,-98.30672055273476,5.398527371947991,5.522672920173859,19.572966431031663,-41.06765151756324,KCL Merchants 2025,KCL BlueCaps 2025,,,,a14bd0b5-30e4-4e34-aac9-45d44e1a94de,d7e8c27b-2d41-44c3-bc8b-9540780881b4,67.95812531303149,5.6980325783401184,-0.7941310251205647,4.457545389352378,1.3230029764508082,60.7580663458069,3.2527187845830934,-1.173768134725119,-10.13911649783068,-4.940645330021891,0.5684062831819501,-10.19475498439322,-18.96092404222841,-11.62309419452803,86.76650052639467,1515.9990794381215,-311.8267760677651,97.94941212381816,0.8625240087980026,-0.2014727437144843,0.4641778406895152,,,,,,,,,,,,,,,,,0.961663627342766,0.0,,,medium,high,11.910149526244789,37.43000011374939,54.667001749344,Gavin Kleist,,Kcl merchants 2025,2022-11,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,127.762764,0.0,,-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
73,07/13/2025,8:19:51 PM,1,3,Thomas Mickels,,Right,Kcl merchants 2025,Grayson Schnierle,,Right,Kcl bluecaps 2025,Stretch,3,Top,0,1,1,Sinker,,BallCalled,,,,,,,80.79980649210914,-1.8459682924275176,-5.4151945683326606,1873.062410237599,219.33869697390264,1:15,5.60509224793516,2.433214786475276,6.000000192000004,-27.007200039308582,16.823515230354086,10.234443926937026,1.6305731165169792,1.761801799207458,72.65855445150682,-6.93375365099884,-3.484630971881166,0.4764976920006684,,,,,,,,,,,,-7.339422812909274,9.712644421581311,-1.9967403574834832,49.99999999999996,5.438339452662681,10.781803759283015,-116.88802526898192,-4.572193805179944,-9.964649159240654,25.866541278342435,-18.987304996318866,KCL Merchants 2025,KCL BlueCaps 2025,,,,a14bd0b5-30e4-4e34-aac9-45d44e1a94de,ddf5a0ac-75fe-4635-b0a4-3aff8bf1f6dc,81.03596376320135,5.605129739210935,2.4394904263760933,-1.8477768569030408,-5.489323079427399,72.84867548253673,1.6314832925520104,-1.7666787458685271,-6.918429116606149,-3.557637663145933,0.4762912168414917,10.934879646226443,15.41457093210406,-34.58327799476774,1.4518390878619158,1542.0961369299853,-1063.1567603654223,82.33020579033294,-0.6367519006613618,-0.5676034896405616,-0.5218939504841958,,,,,,,,,,,,,,,,,0.9950247531015716,0.0,,,medium,high,91.30665517907576,25.89045577945384,54.667001749344,Gavin Kleist,,Kcl merchants 2025,2022-11,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,62.199577,0.0,,-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
74,07/13/2025,8:20:04 PM,1,4,Thomas Mickels,,Right,Kcl merchants 2025,Grayson Schnierle,,Right,Kcl bluecaps 2025,Windup,3,Top,0,2,1,Slider,,StrikeSwinging,,,,,,,70.82213911022848,4.906844501134442,-1.1430132948745224,2060.0944050795,60.141072872865536,8:00,4.883212866329571,2.5690065034759555,6.000000192000004,-61.07468552923844,-3.727833253412406,-13.645213689807392,4.366137470068368,-0.3694550325405536,63.24156030721794,-6.675440884422116,-3.7384340221840127,0.545037413332057,,,,,,,,,,,,6.9843987810665125,-3.7754100921480327,-2.468030560761496,49.99999999999997,5.248776977618482,2.392218470065331,-102.51162740845682,7.249710067535785,7.2330463031542065,21.1760914401504,-36.08386585879485,KCL Merchants 2025,KCL BlueCaps 2025,,,,a14bd0b5-30e4-4e34-aac9-45d44e1a94de,b069a0ab-c376-4cb4-ada9-4c03b299a362,70.99113049567366,4.868932076158459,2.5682255659557884,5.073833559613066,-1.1340647050116712,63.337172592743485,4.377703320672531,0.3703084628030209,-6.500526393112527,-3.72521788368893,0.54486160046216,-13.725441844764005,-7.54174027741404,-47.8181799930438,47.3154863924941,1383.3235054298646,-1526.5664208166932,67.1485492130387,0.3343099107410131,-0.7410177014474162,0.5823483920488867,,,,,,,,,,,,,,,,,0.995382587392984,0.0,,,medium,high,47.41606224675531,78.61335749743094,54.667001749344,Gavin Kleist,,Kcl merchants 2025,2022-11,0.0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,150.232,0.0,,-2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
75,07/13/2025,8:20:16 PM,1,4,Thomas Mickels,,Right,Kcl merchants 2025,Grayson Schnierle,,Right,Kcl bluecaps 2025,Windup,3,Top,0,2,1,Slider,,StrikeSwinging,,,,,,,68.84772134305943,3.838821964785833,-4.035517727976805,2014.245755384024,32.77388318123119,7:00,4.995512790720993,2.9836796763961178,6.000000192000004,-76.14206408456035,-15.03268380489746,-12.695300977610469,2.232346677273424,1.8310610923151915,61.963069286111626,-10.513613954696924,-6.441692053998431,0.5626333381512191,,,,,,,,,,,,5.374453676549679,-9.59853957312931,-2.647146653846895,50.000000000000014,5.265803748489469,7.333651054054473,-99.5290435759744,4.824382011736903,5.215603256572426,20.814590149570588,-41.48888924577575,KCL Merchants 2025,KCL BlueCaps 2025,,,,a14bd0b5-30e4-4e34-aac9-45d44e1a94de,3a7abe0b-7ad3-4fca-b7d2-1f1cf3d1de9a,68.94123649952351,4.975659593515583,2.9802122802788023,4.073526019751084,-3.9943762346110967,61.97309410872673,2.2475674534997427,-1.828427663558958,-10.291273448110926,-6.402137958799703,0.562539384009511,-13.0831912732402,-19.8249379577893,-12.294603854345748,79.73021073437067,1968.050304007896,-428.91020502779406,97.70656330029996,0.8215299160148389,-0.2129383685587167,0.5289100568983385,,,,,,,,,,,,,,,,,0.9974251275570126,0.0,,,medium,high,18.24281033906636,10.72065140753754,54.667001749344,Gavin Kleist,,Kcl merchants 2025,2022-11,0.0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,167.14742,0.0,,-2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
76,07/13/2025,8:20:44 PM,1,5,Thomas Mickels,,Right,Kcl merchants 2025,Grayson Schnierle,,Right,Kcl bluecaps 2025,Windup,3,Top,1,0,0,Slider,,StrikeCalled,,,,,,,68.45639597599478,3.88212306815808,-2.4829105794782,2041.8074430824904,27.44366159122045,7:00,4.934170970402064,3.096929634447559,6.000000192000004,-77.4018374953939,-15.871696999124332,-10.756345910261096,2.100965229159755,0.1084795374424259,61.65093417083891,-10.729776763944509,-4.529328145629933,0.5645669825579445,,,,,,,,,,,,4.9159606580509445,-10.044141548470158,-2.888384024558188,49.99999999999997,5.206738285035965,4.561711980950532,-99.12257729144876,4.83628057553992,4.740040402938924,20.39665964549336,-41.85875621086182,KCL Merchants 2025,KCL BlueCaps 2025,,,,a14bd0b5-30e4-4e34-aac9-45d44e1a94de,c57d14f1-6474-4298-945d-32306aa48dca,68.54560302868963,4.9136615042952165,3.094937891046379,4.123914773363587,-2.4593605536234566,61.65564999334656,2.1162736991567543,-0.1069685064486971,-10.503951668512029,-4.506318547668784,0.5644819816464025,-10.977448719674031,-20.65364387570408,-16.48042898457552,57.081032524456965,1957.9232385724745,-579.2358988226912,95.89166917800156,0.8510044624103552,-0.2836878182539222,0.4419418816224506,,,,,,,,,,,,,,,,,0.9965930003212048,0.0,,,medium,high,38.62707072798876,23.122944320600475,54.667001749344,Gavin Kleist,,Kcl merchants 2025,2022-11,0.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,181.81195,0.0,,-2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
