PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,TaggedPitchType2,GeneralPitchType,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Stuff+,Good Swing Decision
11,06/25/2025,10:41:31 PM,1,3,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,1,1,Sinker,,StrikeCalled,,,,,,,80.01240697358347,-1.3079040829489323,-2.806201741528399,1682.3582571007096,206.139557713986,12:45,5.2735232881172,2.636825678975612,6.000000192000004,-29.219296558840355,15.259963135092685,4.982801551904792,1.6213531776073231,0.4419056116616163,71.92805578533662,-6.825988174049416,-1.8609383094843823,0.4800100138201176,16.354408471749146,43.05872508899945,3.1729091995041814,,,,,9.99593444645469,,6.284527451859691,1.014296937267912,-3.649390379707406,8.700161134424295,-2.410949038233309,50.00000000000004,5.149929107580095,5.54857645020907,-116.13944153208864,-3.50032664703801,-4.879613341164862,26.01781542940638,-20.5410320338398,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,83807a67-8937-4f95-8a21-dd7522292553,80.25119441134498,5.272491982061761,2.641302898876445,-1.2971765441474798,-2.8597434726015307,72.12117010821123,1.623128769962473,0.4385156925532067,-6.797466594340052,-1.912979003150637,0.4797938296704255,5.486994303926594,13.591972613866115,-47.53744045506099,41.27155533678823,1135.7739846822185,-1241.1070707050271,67.51082772581111,-0.6060606481156622,-0.7377186550288568,-0.2974250776717357,0.6613933180044886,11.931101065888653,11.165933131416732,-0.0089830622760235,-7.4347668862492835,0.2955968381289187,1.0942138706556286,9.935864404423215,,,,,,,,,0.9665019062311222,0.0,,-5.273060470410889,medium,high,52.85560019689059,-14.033292746187218,54.667001749344,Grant Sn,,Interns,2022-11,Sinker,Fastball,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,83.5795669555664,-2
12,06/25/2025,10:41:58 PM,1,4,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,1,2,Slider,,Foul,,,,,,,72.60846374514146,2.584267386626338,-2.812665455868285,2156.0945340448325,69.08893094398462,8:15,4.34880884057976,3.028979062887772,6.000000192000004,-54.28108750000079,0.1621063267851923,-12.11932576885154,2.231715327558472,-0.5971401555170348,65.12891107898666,-7.685479722746966,-5.112587996107261,0.5310596680731307,,,,,,,,,,,,5.552447564635677,-0.8460451692385949,-2.792716904745128,49.99999999999996,4.528472333824516,5.487523367686397,-105.26145852188203,3.341088911827531,6.054890088859412,22.536518509456712,-33.096653617882694,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,1983536e-1e59-486c-bddb-caca83a1c047,72.79287031081624,4.33718724047462,3.02918577638776,2.72045673026918,-2.815491225325722,65.2477437845772,2.2414384947352093,-0.5969818572538383,-7.537638945406232,-5.1098677449834575,0.5308643495255123,-12.088315580787738,-3.3305487750139986,-58.84442508513334,40.98424393873494,1115.4848887056096,-1845.1116775977105,51.736362719354446,0.1846566358033035,-0.8557656672577716,0.4832877503068611,,,,,,,,,,,,,,,,,0.7093273856247646,0.0,,,medium,high,126.88581954486148,-5.44455545096188,54.667001749344,Grant Sn,,Interns,2022-11,Slider,Breaking,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,124.84516906738281,-2
13,06/25/2025,10:42:16 PM,1,5,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,1,2,Slider,,BallCalled,,,,,,,71.37149293293737,2.209317076052628,-5.142926902901565,2532.7067264426505,61.68488803790523,8:00,4.433241914622259,2.5090160195506024,6.000000192000004,-57.747590022609565,-0.9507902147238596,-13.373642731960562,1.6835899290813563,-3.398136520310375,64.13877447304085,-8.665959325546805,-7.665306811168231,0.5424172038079466,,,,,,,,,,,,5.344582136276809,-1.337052656780546,-2.0812974871405423,49.999999999999964,4.580876894926377,9.627714478940058,-103.18229466064916,2.524257613195933,5.5823765974673485,22.149042313664086,-33.57059121834412,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,abfff673-a690-4ab1-aa7d-4dc236e7b298,71.54385413297499,4.42046887392984,2.5093007322175724,2.3600037206645728,-5.146709311910598,64.24442057195814,1.694516193162614,-3.398015421125367,-8.504354741024418,-7.663182468532095,0.5422266345855266,-13.333079965598756,-4.8065771837274776,-56.509040426802336,23.709955133267577,1397.5612387036913,-2112.208783771351,55.18053962239268,0.2617325681413839,-0.8339729040551348,0.4857831389374899,,,,,,,,,,,,,,,,,0.9477339083220768,0.0,,,medium,high,68.66104038005918,20.84144689089271,54.667001749344,Grant Sn,,Interns,2022-11,Slider,Breaking,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,110.67735290527344,-1
14,06/25/2025,10:42:33 PM,2,1,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,0,0,Fastball,,StrikeSwinging,,,StrikeoutSwinging,1.0,0.0,,84.94814532399383,-0.2412266126315617,-2.787554970361122,2324.803867804894,194.96891359216525,12:30,5.609921924841169,2.403949631232283,6.000000192000004,-22.492420522239648,16.984420784272828,3.0963475835875154,3.511092040633545,0.0691966113149716,76.01894259120164,-4.505250513486624,-2.199981094266356,0.4522126639546494,,,,,,,,,,,,-2.631583752273686,9.273404747258905,-2.1785019774768526,50.00000000000002,5.577241609412106,5.909824807554988,-123.32796517862744,-1.210440812684322,-3.963562844331083,29.574726555797422,-18.20690053937667,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,6b6e023f-2963-4778-ae52-123ebb106072,85.20626290182909,5.610788054381375,2.407399868546392,-0.2530862041809882,-2.828742812103064,76.2305201905999,3.5112970004743325,0.0666141223382838,-4.500736534635017,-2.239591570486811,0.4520048475544219,3.484416702922849,15.660660412493971,-49.720089303256245,74.92768026486729,1503.037598617865,-1773.5814052085786,64.65223236388753,-0.6245833055901694,-0.762895068169004,-0.1669934410133154,,,,,,,,,,,,,,,,,0.8698681691418089,0.0,,,medium,high,22.5650877616194,-82.93467021811178,54.667001749344,Grant Sn,,Interns,2022-11,Other,Other,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,74.22015380859375,-2
15,06/25/2025,10:42:59 PM,2,1,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,0,0,Sinker,,BallCalled,,,,,,,80.82217960587923,-1.2485530614094047,-3.8393881997136905,1705.7986508531185,214.6873946807464,1:15,4.912988332124038,2.6426159134298755,6.000000192000004,-29.19386068455579,14.475229768679473,6.79836176279071,1.3169748734028983,-0.3645075845484968,72.62778389281671,-6.759925275127929,-2.551810999190793,0.4756183431301953,,,,,,,,,,,,-4.979695089558251,8.254075790745565,-2.333347504933967,49.999999999999936,4.794140276780611,7.666594526329595,-117.19736035099884,-3.412759671974021,-6.782434508342097,26.42821980705141,-20.93184951736286,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,876eae9a-f2fd-4ef7-9de9-bc6263fd5f83,81.06137713506358,4.911901053150481,2.6479255516824325,-1.2371374656569607,-3.902594539623887,72.81932352233527,1.3187524034372804,-0.3685001255383364,-6.731229886403589,-2.6132171547483263,0.4754085612021416,7.394886005049167,12.849322877501228,-47.41864216693549,18.45398528654345,1154.2055035419305,-1256.0090337437218,67.66364265587144,-0.5563773371995011,-0.7363172864016254,-0.3850728663473177,,,,,,,,,,,,,,,,,0.888497949527757,0.0,,,medium,high,106.6085867578891,-3.3423609314721183,54.667001749344,Grant Sn,,Interns,2022-11,Sinker,Fastball,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,88.37644958496094,-1
16,06/25/2025,10:43:43 PM,2,2,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,1,0,Slider,,BallCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,8b2243bf-1b0b-4cea-9973-009ea622a74e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grant Sn,,Interns,2019-02,Slider,Breaking,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,-1
17,06/25/2025,10:43:50 PM,2,3,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,2,0,Sinker,,Foul,,,,,,,79.10435203484086,-0.7602330513382338,-2.262959637510026,1684.005304949808,217.2865708939705,1:15,5.041709064483212,2.0744123203428844,6.000000192000004,-31.19484065135685,14.270943361313652,7.758772939752599,1.7349901388534796,0.6167020981342443,71.07643917652231,-6.658854682352166,-0.7894870046674524,0.4853039930421109,,,,,,,,,,,,-4.968805170911741,7.980080110083821,-1.894477853239104,50.00000000000004,4.961681050050066,4.317901349929335,-114.8868576611303,-2.4184032846333103,-6.499129445762739,25.523465709622453,-21.736213559220403,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,886001a3-fcdc-4a59-86ec-e333202e2180,79.34122076771328,5.040268816722157,2.080394862953832,-0.7448870785062707,-2.33352668892025,71.26244168561718,1.7371022726948004,0.612246295098068,-6.625568624771855,-0.8572363780211057,0.4850840761734432,8.421795351412205,12.508616505486904,-44.98961912677709,31.44606392685121,1190.9872872567942,-1190.5558150258216,70.72348785102501,-0.562687025717534,-0.7069786606529166,-0.4284442606344068,,,,,,,,,,,,,,,,,0.9357441945042392,0.0,,,medium,high,61.69854246583392,7.965550215364773,54.667001749344,Grant Sn,,Interns,2022-11,Sinker,Fastball,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,86.85208892822266,-2
18,06/25/2025,10:44:29 PM,2,4,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,2,1,Fastball,,BallCalled,,,,,,,84.4040824981466,2.0993766265862464,-3.7563770969966814,,,,4.428385314942014,2.1003639952761044,6.000000192000004,,,,3.221418901434885,-1.3957996958044403,75.39385150815123,-5.096974855892182,-3.756377096996675,,,,,,,,,,,,,,,,,,,,,,,,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,3bf2f4c3-1817-4afe-92af-1982c574f6f5,84.64425045810462,4.421780193136981,2.100363995276105,2.175671954496496,-3.756377096996683,75.57304617562143,3.227230744575289,-1.3957996958044423,-5.008090269906939,-3.75637709699668,0.4562079059157897,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,low,high,,,54.667001749344,Grant Sn,,Interns,2022-11,Other,Other,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,-1
19,06/25/2025,10:44:53 PM,2,5,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,3,1,Slider,,StrikeCalled,,,,,,,70.69538606732658,2.587168594816658,-2.922116001755385,,,,4.567803206618055,3.432771487685262,6.000000192000004,,,,2.4716309368466027,0.7146182637520628,63.43749093347117,-7.644952149030175,-2.922116001755319,,,,,,,,,,,,,,,,,,,,,,,,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,2b087d25-59a6-47f0-8ac6-8dd1c0030e57,70.89465545915623,4.558690819025615,3.4327714876852577,2.6947150661963373,-2.9221160017553545,63.575225914769824,2.479869577355072,0.7146182637520585,-7.5187753227545135,-2.922116001755354,0.5444218157492449,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,low,high,,,54.667001749344,Grant Sn,,Interns,2022-11,Slider,Breaking,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,-2
20,06/25/2025,10:45:14 PM,2,6,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,3,2,Slider,,StrikeSwinging,Strikeout,,StrikeoutSwinging,,0.0,,71.21037571819981,2.007564225413348,-5.068658449826545,,,,4.656787781112206,4.069500982149543,6.000000192000004,,,,2.070426127178622,-0.6536055860238372,63.973389422201656,-8.089095174949302,-5.068658449826473,,,,,,,,,,,,,,,,,,,,,,,,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,ed62a373-fe8e-45f8-8740-04945e4de91e,71.41085662199693,4.647542617310524,4.069500982149549,2.114939869328333,-5.068658449826529,64.1109216747238,2.0786548257079795,-0.6536055860238462,-7.964791724721119,-5.0686584498265255,0.5417603603335436,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,low,high,,,54.667001749344,Grant Sn,,Interns,2022-11,Slider,Breaking,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,,-1
