Name,Position,College,BatSide/ThrowSide
Zach Odonnell,LHP,Millikin University,R/R
Will O'Gorman,LHP,UMSL,R/R
Brice Deaton,RHP,Jacksonville State University,R/R
Eli Woodall,RHP,Lindenwood University,R/R
Eli Tritinger,RHP,East Central College,R/R
Toby Schriefer,RHP,Illinois State University,R/R
Logan Barnett,RHP,Heartland CC,R/R
Owen Corbett,RHP,Indian Hills CC,R/R
Jimmy Amptmann,RHP,Heartland CC,R/R
Zach Zychowski,INF,Purdue University,R/R
Jackson Smith,SS,Bradley University,R/R
Jackson Stanek,1B,Southwestern Illinois CC,R/R
Caleb Royer,1B/OF,Towson University,R/R
Nolan McCrossin,3B/C,Kankakee CC,R/R
Ryan Colucci,INF,Southwestern Illinois CC,R/R
Shea Zbrozek,INF/OF,Saint Xavier University,R/R
Tyler Thompson,OF/2B,Lindenwood University,R/R
Cole Freeman,OF,Southern Illinois University,R/R
Jack Novak,OF,Illinois Weslyan University,R/R
Michael Kuska,OF,Valparaiso University,R/R
Kannon Kleine,C,VCU,R/R
Charlie Graham,C,John Wood,R/R
