Pitcher,PitchType,#,# RHB,# LHB,%,MPH,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Spin,Whiff %,Put Away %
Zach Courson,Curveball,19,17,2,35.8,76.99,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,75.0,41.37,2603.0,5.26,100.0
Zach Courson,Slider,1,1,0,1.9,78.09,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,2492.0,0.0,NaN
Alec Bergman,Fastball,32,16,16,61.5,90.68,1,1,0,0,0,2,5,0.143,0.233,0.143,0.388,0.207,0.364,90.12,4.88,2040.0,9.38,25.0
Alec Bergman,Slider,20,9,11,38.5,79.94,1,0,1,0,0,0,2,0.5,0.75,1.0,1.281,0.115,0.602,90.58,18.67,2237.0,5.0,0.0
Toby Schriefer,Fastball,133,75,51,75.1,89.21,6,4,1,0,1,10,19,0.214,0.219,0.357,0.28,0.214,0.238,82.66,25.41,2178.0,15.04,22.22
Toby Schriefer,Slider,27,18,6,15.3,74.57,2,2,0,0,0,1,4,0.4,0.0,0.4,0.156,0.059,0.401,75.97,-10.03,1813.0,7.41,11.11
Toby Schriefer,Curveball,16,10,6,9.0,73.96,2,1,1,0,0,1,2,0.667,0.639,1.0,1.083,0.069,0.518,93.93,17.38,1792.0,6.25,20.0
Toby Schriefer,Cutter,1,1,0,0.6,84.36,0,0,0,0,0,0,1,0.0,,0.0,,0.0,,76.4,60.2,1964.0,0.0,NaN
Brice Deaton,Fastball,34,28,6,75.6,90.32,1,1,0,0,0,1,2,0.333,0.0,0.333,0.0,0.512,0.417,80.15,44.54,2239.0,8.82,20.0
Brice Deaton,Curveball,10,9,1,22.2,74.71,0,0,0,0,0,1,2,0.0,0.111,0.0,0.146,0.0,0.03,72.78,21.09,2739.0,10.0,50.0
Brice Deaton,Slider,1,1,0,2.2,75.37,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,,0.0,NaN
Cole Noreuil,Fastball,73,33,40,85.9,90.71,3,2,0,1,0,2,10,0.25,0.31,0.417,0.348,0.319,0.377,81.47,13.42,2024.0,12.33,8.7
Cole Noreuil,Changeup,4,0,4,4.7,86.48,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,73.3,45.98,2022.0,0.0,0.0
Cole Noreuil,Cutter,3,2,1,3.5,82.33,0,0,0,0,0,0,1,0.0,0.583,0.0,0.438,0.0,0.223,78.58,19.02,2247.0,0.0,0.0
Cole Noreuil,Slider,5,4,1,5.9,80.56,0,0,0,0,0,0,0,0.0,,0.0,,0.048,,,,2200.0,0.0,0.0
