,y_test,y_pred
2514,-0.33,-0.2525026
1934,0.31,0.24957372
13401,0.79,-0.36567888
6613,0.0,-0.17537682
5016,-0.33,-0.7440304
11811,0.0,-0.15976869
11835,-0.33,0.04138857
12444,0.46,0.2252013
1418,-0.33,-0.08139587
4946,0.46,0.14298125
8017,-0.33,-0.1349161
10509,0.46,-0.20243266
2868,0.46,-0.2837949
7778,-0.33,0.054899625
7060,-0.33,-0.8631117
2427,-0.33,-0.043961424
9026,0.46,-0.38363132
7924,-0.33,-0.5798521
5582,0.46,0.3058117
10566,-0.33,0.60626996
12433,-0.33,-0.4344451
3417,-0.33,-0.1522911
11228,1.41,-0.22996436
8033,-0.33,-0.6074681
1145,-0.33,-0.28115994
11795,-0.33,-0.12682682
9181,-0.33,-0.22416806
426,0.79,-0.24283002
1905,-0.33,0.35869992
5766,-0.33,0.36026314
12935,-0.33,0.18856765
10999,-0.33,-0.07694854
2366,0.31,0.3336461
12389,-0.33,-0.6216733
5925,-0.33,0.21893182
7523,0.46,0.12321701
7748,-0.33,-0.008782347
7659,-0.33,-0.052625224
8324,-0.33,0.07153166
5083,-0.33,0.04332573
706,0.46,-0.26190475
1758,-0.33,0.5438581
6840,0.31,0.3131093
3193,0.79,-0.2299217
6009,0.79,-0.4092763
3379,-0.33,-0.27762374
9795,-0.33,-0.69256085
8489,-0.33,-0.55795735
9284,1.41,0.42092618
1301,0.46,0.4651322
3312,-0.33,-0.2099224
860,0.46,0.070371635
3211,0.46,-0.22402126
4521,0.31,-0.047551446
11175,-0.33,0.44773778
12551,-0.33,-0.009225084
4949,-0.33,0.2915593
2237,0.46,-0.27019492
10718,0.46,-0.21432158
9141,0.46,0.6313532
3243,0.46,0.08263455
10391,-0.33,-0.021745805
11580,-0.33,0.15613832
1341,0.31,-0.0862483
5529,-0.33,0.5209071
2553,-0.33,-0.22008294
6912,-0.33,-0.42198536
1339,-0.33,0.014589913
803,0.46,-0.5023742
7341,-0.33,0.17015964
13302,-0.33,-0.5725675
13180,0.46,0.08313771
3682,-0.33,0.34140912
1847,-0.33,-0.13619086
5320,-0.33,0.036236834
196,-0.33,-0.29027292
5601,0.31,0.3651781
6630,-0.33,-0.12446991
840,0.46,-0.80565274
8582,-0.33,0.1023423
1332,0.46,0.60754937
5316,-0.33,-0.035764012
11525,-0.33,-0.026519012
9931,-0.33,0.027096065
2028,-0.33,0.014388653
12701,0.0,0.16437824
4908,-0.33,-0.47818717
13156,-0.33,-0.4715974
7269,0.46,0.06940138
10004,0.46,-0.09785256
2130,-0.33,0.09028947
13629,-0.33,-0.19518282
356,0.0,0.27866876
7092,-0.33,-0.015569101
3297,-0.33,0.14561382
9990,1.07,-0.2996284
5011,0.46,-0.26445863
5452,1.07,0.36878946
7324,0.46,0.05099364
12932,-0.33,-0.41465732
9323,-0.33,0.47217333
1960,-0.33,-0.10597307
7266,0.31,0.3922908
1937,-0.33,-0.020944433
10272,-0.33,-0.16898438
10884,0.46,-0.04145258
3292,0.31,0.02075734
11538,0.0,0.70639974
7198,-0.33,0.38460013
1427,-0.33,-0.3540946
2384,0.0,0.16419347
8960,0.79,0.07766446
4125,0.46,-0.3520835
2920,0.0,0.46040556
9627,0.31,0.06316269
9079,0.31,-0.21940358
3373,-0.33,-0.5967565
8776,0.31,0.7255456
1102,0.46,-0.35918057
11317,-0.33,0.30132866
11984,-0.33,-0.052986458
9911,0.46,-0.042946354
3307,0.46,0.9292722
13199,-0.33,-0.5896923
11044,0.0,0.903964
10946,-0.33,0.07207002
9596,0.46,-0.6236917
13635,-0.33,-0.470822
10530,-0.33,-0.44643834
4844,0.46,-0.15877937
8798,0.79,0.44141695
4242,-0.33,-0.4792399
11670,-0.33,-0.36504838
6711,-0.33,0.043269847
5985,0.31,0.550214
2243,-0.33,-0.36786187
2374,0.31,-0.23292643
7260,0.46,0.012092008
10276,-0.33,-0.08506579
6517,0.46,-0.50440717
3824,0.46,-0.12764965
6687,-0.33,0.6072346
2975,0.79,0.1197014
3775,-0.33,0.79697424
3265,0.46,0.04057428
11279,-0.33,-0.3061576
573,0.31,-0.3351082
7194,0.31,-0.26302254
6717,-0.33,-0.044071663
3083,-0.33,0.07512814
1405,0.46,-0.24857385
4590,0.46,-0.12559514
6822,0.46,0.49190003
6403,0.46,-0.6878008
5569,-0.33,-0.34923247
9876,0.79,0.18064177
5884,-0.33,-0.28592977
8742,-0.33,-0.15741295
1764,-0.33,0.0815986
3711,-0.33,0.19305879
13083,0.46,-0.20960164
5135,-0.33,0.76292884
4329,-0.33,-0.18149057
1808,-0.33,-0.13105027
9427,-0.33,-0.19527666
9089,0.0,-0.050506093
6505,0.31,-0.091093674
5008,-0.33,-0.4767632
1856,0.46,0.20841135
10893,-0.33,0.35529163
13552,-0.33,0.05336064
340,-0.33,-0.26104084
5489,-0.33,0.49740312
2255,-0.33,-0.12691866
11522,0.0,-0.3182921
282,0.46,0.2818757
9976,0.31,-0.8513429
10585,-0.33,-0.16691647
12838,-0.33,-0.4168948
7286,-0.33,-0.32079202
6067,-0.33,-0.25217572
3134,0.46,0.29456356
1371,-0.33,-0.61832017
13005,0.46,-0.4502813
12870,0.46,0.4215771
10242,0.46,-0.32528833
8023,-0.33,-0.13623258
9047,0.79,0.016529648
1675,0.46,-0.13854529
1837,0.31,0.17069313
2662,-0.33,-0.18959296
10046,0.31,-0.2046613
8420,-0.33,0.28816292
11319,-0.33,0.30573633
8148,-0.33,-0.205962
5129,-0.33,-0.029187424
3383,-0.33,0.36684158
13051,-0.33,0.5107517
13036,-0.33,0.8146718
6730,-0.33,-0.2927706
9960,0.31,-0.51769584
3669,-0.33,-0.6252983
8258,-0.33,0.4195383
11954,0.46,-0.05986522
7294,-0.33,-0.036415182
10688,-0.33,-0.48652467
628,0.46,-0.20549451
7203,-0.33,0.6736399
12663,-0.33,0.5623416
11147,-0.33,0.017654713
13507,-0.33,0.8007579
1383,-0.33,0.940304
6973,-0.33,-0.24852443
1083,0.0,-0.7439574
4796,0.46,0.65444136
10339,-0.33,-0.21095903
10859,0.46,-0.84021723
12547,-0.33,0.1520896
592,0.31,0.009193814
2542,0.0,-0.32214418
11461,-0.33,0.5556258
1739,0.0,0.04248626
1022,0.0,-0.06885892
3892,0.0,0.6499195
7128,0.31,-0.0808725
4860,-0.33,0.30393523
13505,-0.33,0.2077435
9281,0.31,0.48481268
11921,0.79,-0.56335396
2005,0.46,-0.71090734
6211,-0.33,0.19784224
9519,0.0,-0.16720285
3750,-0.33,0.22632548
1647,-0.33,0.1514917
10249,0.31,0.20621473
2065,0.46,-0.23970155
10506,-0.33,0.1541102
3345,-0.33,-0.12773423
8161,-0.33,0.6340736
7362,0.31,0.4881046
11638,-0.33,0.048119403
7431,0.46,0.497728
11198,0.46,0.18843892
680,-0.33,0.09511663
9574,0.46,-0.6262602
9945,-0.33,-0.5370631
9631,-0.33,-0.07862231
10348,0.46,0.13356552
1568,-0.33,-0.23348038
9475,-0.33,0.6254861
6198,0.31,0.7619162
194,-0.33,0.05767723
11412,0.0,-0.024530906
160,-0.33,-0.38031366
12875,0.46,-0.4994247
3997,0.46,-0.45039803
8864,-0.33,-0.359297
13632,-0.33,-0.08015902
885,0.46,0.5470776
3656,-0.33,0.5362521
908,-0.33,-0.026472954
1785,-0.33,0.26201683
831,-0.33,0.07891842
6538,-0.33,0.52860624
1976,-0.33,-0.47863743
239,0.31,0.118985035
467,1.07,0.033240207
4073,0.46,-0.67922676
9572,0.46,-0.23229344
3028,-0.33,0.43675062
5361,-0.33,0.47683212
1270,0.31,0.16186479
12889,-0.33,-0.037448056
8096,0.46,-0.2117103
6924,-0.33,-0.16874567
2524,-0.33,-0.05812781
1157,0.46,-0.5452641
8570,-0.33,-0.55475414
11801,0.46,-0.34897783
6992,-0.33,-0.2831762
3810,-0.33,-0.14999361
7868,-0.33,-0.43012074
2863,-0.33,-0.62059253
