Pitcher,PitcherTeam,TaggedPitchType,PitchCall,PlayResult,RelSpeed,SpinRate,RelHeight,RelSide,Extension,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ABS_Horizontal,ABS_RelSide,differential_break,xWhiff_xg,xWhiff_rf,xWhiff_nn,xWhiff,stuff+
Jack Piper,Kcl merchants 2025,Sinker,StrikeCalled,StrikeoutLooking,72.54446104,1130.367645,5.750853039,2.654654624,6.000000192,8.971809677,15.24043204,1.471933426,-1.277721064,15.24043204,2.654654624,6.268622363,0.014032876,0.13,0.00848989,0.050840922047694526,57.976862310473834
Canden Hardman,Kcl bobcats 2025,Fastball,InPlay,Single,76.71155496,1797.082039,5.351765152,1.657328075,6.000000192,19.054023,10.329306,2.292487541,0.147502109,10.329306,1.657328075,8.724717,0.0029718603,0.01,0.033350967,0.015440942406033477,17.608205275638873
Canden Hardman,Kcl bobcats 2025,Fastball,InPlay,Out,73.49195961,1609.927715,5.483145876,2.360635118,6.000000192,19.18523793,8.915455315,2.530784956,0.487887708,8.915455315,2.360635118,10.269782614999999,0.0012006721,0.04,0.028986972,0.023395881316003703,26.679685085523413
Canden Hardman,Kcl bobcats 2025,Fastball,InPlay,Out,75.69902943,1588.8124,5.181057528,2.322651567,6.000000192,17.92302065,9.260171423,2.00145996,-0.514755566,9.260171423,2.322651567,8.662849227000002,0.0018837552,0.0,0.021787925,0.007890559965744615,8.998064752982927
Teagan Disharoon,Kcl merchants 2025,Sinker,InPlay,Out,78.6633403,1718.458629,5.066431834,4.227409775,6.000000192,11.73890668,14.55058177,2.396393065,-0.173058478,14.55058177,4.227409775,2.8116750900000014,0.008012888,0.04,0.022340035,0.023450974362591904,26.742510892917547
Teagan Disharoon,Kcl merchants 2025,Sinker,InPlay,Single,78.45724625,1715.346005,5.22917535,4.981612616,6.000000192,11.64595105,15.0826366,2.241909392,1.179415746,15.0826366,4.981612616,3.43668555,0.017230088,0.11,0.023154713,0.05012826703488826,57.16418032344029
Teagan Disharoon,Kcl merchants 2025,Sinker,InPlay,Single,79.21102009,1671.862889,5.179213106,3.756071959,6.000000192,12.66593689,14.7530548,1.534250843,0.133091608,14.7530548,3.756071959,2.08711791,0.031303212,0.05,0.01801838,0.033107197284698485,37.75406387515937
Logan Lynch,Kcl merchants 2025,Fastball,InPlay,Out,87.88284853,2344.155987,4.894396789,-1.435047922,6.000000192,11.15718494,-6.694567856,2.49116393,-0.457756681,6.694567856,1.435047922,4.462617084000001,0.02472473,0.13,0.042151604,0.06562544440229734,74.83651359836387
Logan Lynch,Kcl merchants 2025,Fastball,StrikeSwinging,StrikeoutSwinging,87.54556137,2388.973814,5.00800502,-0.49008067,6.000000192,7.951081168,-2.666072193,3.439392212,-0.459786011,2.666072193,0.49008067,5.285008975,0.87967193,0.79,0.048327483,0.5726664715011914,653.0449061663909
Logan Lynch,Kcl merchants 2025,Sinker,BallCalled,Walk,87.24949037,2478.56561,4.986961829,-2.147170952,6.000000192,9.205961955,-5.60708143,0.505030604,0.554061746,5.60708143,2.147170952,3.5988805249999993,0.76967674,0.37,0.064357236,0.4013446603218715,457.67667409132275
