"","Player","OAA","playerPosition","innings","inRightOAA","inLeftOAA","backRightOAA","backLeftOAA","inTotal","backTotal","leftTotal","rightTotal"
"56","Riley Hendren",-1.81,"Total",64,-0.79,-1.68,0.02,0.65,-2.47,0.67,-1.03,-0.77
"57","Sam Mitre",0.95,"Total",17,0,0,0.98,-0.03,0,0.95,-0.03,0.98
"58","Sammy Descarpentrie",-0.01,"Total",17,0,-0.01,0,0,-0.01,0,-0.01,0
"59","Sammy Driscoll",2.3,"Total",61,2.13,0.41,-0.62,0.38,2.54,-0.24,0.79,1.51
"60","Taylor Vorhees",-0.35,"Total",68,-0.24,-0.11,0.03,-0.03,-0.35,0,-0.14,-0.21
"61","Thomas Mickels",-1.29,"Total",15,-0.72,-0.57,0,0,-1.29,0,-0.57,-0.72
"62","Trey Blanchette",-1.98,"Total",69,-0.41,-0.34,-0.86,-0.38,-0.75,-1.24,-0.72,-1.27
"63","Trey Schilling",-0.53,"Total",64,-0.23,-0.69,-0.06,0.46,-0.92,0.4,-0.23,-0.29
"64","Trey Thompson",-0.14,"Total",31,-0.35,0.16,0.2,-0.15,-0.19,0.05,0.01,-0.15
"65","Ty Cribbett",0.12,"Total",59,0.48,-0.21,0.07,-0.23,0.27,-0.16,-0.44,0.55
"66","Tyler Pippin",0.94,"Total",74,-0.11,1.35,-0.16,-0.14,1.24,-0.3,1.21,-0.27
"67","Will Strehl",0.19,"Total",29,-0.32,0,-0.07,0.57,-0.32,0.5,0.57,-0.39
"68","Will Vogel",0.35,"Total",66,0,-0.06,-0.08,0.48,-0.06,0.4,0.42,-0.08
"69","Zach Pomatto",-0.36,"Total",45,0,-0.14,0,-0.22,-0.14,-0.22,-0.36,0
"70","Zach Spidle",1.2,"Total",66,-0.87,1.7,0.61,-0.24,0.83,0.37,1.46,-0.26
"71","Zayn Giles",0.84,"Total",51,-0.49,0.09,1.29,-0.05,-0.4,1.24,0.04,0.8
"72","Donte Frantz",NA,NA,4,0,0,0,0,0,0,0,0
"73","Lawson Alwan",NA,NA,78,0,0,0,0,0,0,0,0
"74","Ryan Theile",NA,NA,41,0,0,0,0,0,0,0,0
"75","Zach Bava",NA,NA,17,0,0,0,0,0,0,0,0
"76","Adan Nieves",-0.18,"2B",21,-0.52,0.04,-0.03,0.34,-0.48,0.31,0.38,-0.55
"77","Adan Nieves",0.12,"3B",6,0,0,0,0.12,0,0.12,0.12,0
"78","Adan Nieves",0.57,"LF",7,0.57,0,0,0,0.57,0,0,0.57
"79","Adan Nieves",-0.22,"RF",3,-0.22,0,0,0,-0.22,0,0,-0.22
"80","Adan Nieves",1.1,"SS",8,0,-0.01,0.72,0.39,-0.01,1.11,0.38,0.72
"81","Andrew Schweigert",0.65,"LF",30,0.79,-0.14,0.18,-0.18,0.65,0,-0.32,0.97
"82","Ashton Horchem",-0.3,"CF",17,-0.56,-0.01,0.27,0,-0.57,0.27,-0.01,-0.29
"83","Ashton Horchem",0.02,"LF",4,-0.15,0,0.18,0,-0.15,0.18,0,0.03
"84","Bennett Summers",-0.19,"CF",11,-0.13,-0.2,0,0.14,-0.33,0.14,-0.06,-0.13
"85","Bennett Summers",0.88,"LF",11,0.69,0,0.19,0,0.69,0.19,0,0.88
"86","Blake Willan",-0.58,"1B",33,-0.01,0,-0.53,-0.04,-0.01,-0.57,-0.04,-0.54
"87","Braden Mehn",-0.25,"LF",6,-0.24,-0.01,0,0,-0.25,0,-0.01,-0.24
"88","Braden Mehn",-1.49,"RF",15,-0.81,-0.36,-0.32,0,-1.17,-0.32,-0.36,-1.13
