#,order,player_name,position
1,7,Jackson Stanek,if
2,8,Nolan Mccrossin,if
3,2,Cole Freeman,of
4,13,Max Hennemann,
5,1,Caleb Royer,if
6,6,Jack Novak,of
7,4,Tony Konopiots,
8,11,Austin Weigand,
9,3,Jackson Smith,if
