Batter,PitchType,#,%,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff %,Put Away %
Tyler Pippin,Fastball,100,71.9,9,7,2,0,0,3,19,0.409,0.275,0.5,0.391,0.319,0.356,82.42,21.04,8.0,23
Tyler Pippin,Offspeed,5,3.6,3,1,0,1,1,0,4,0.75,0.297,2.0,0.319,0.143,0.272,86.13,12.95,0.0,0
Tyler Pippin,Breaking,34,24.5,1,1,0,0,0,0,2,0.333,0.295,0.333,0.33,0.071,0.417,74.32,-0.74,5.88,0
Jackson Smith,Fastball,111,76.6,8,6,1,0,1,1,29,0.276,0.31,0.414,0.374,0.316,0.299,84.3,18.63,3.6,8
Jackson Smith,Breaking,22,15.2,0,0,0,0,0,1,2,0.0,0.251,0.0,0.272,0.018,0.231,83.92,17.86,9.09,14
Jackson Smith,Offspeed,12,8.3,2,2,0,0,0,0,5,0.4,0.335,0.4,0.419,0.043,0.327,79.86,22.77,0.0,0
Jackson Stanek,Fastball,93,74.4,7,4,3,0,0,3,14,0.412,0.313,0.588,0.34,0.375,0.292,84.44,15.01,9.68,12
Jackson Stanek,Breaking,23,18.4,1,1,0,0,0,4,3,0.143,0.041,0.143,0.044,0.031,0.036,81.83,8.69,26.09,31
Jackson Stanek,Offspeed,9,7.2,1,1,0,0,0,0,1,1.0,0.439,1.0,0.512,0.031,0.417,89.69,17.14,11.11,0
Tyler Thompson,Offspeed,7,4.5,1,1,0,0,0,0,3,0.333,0.395,0.333,0.466,0.023,0.379,80.32,6.64,0.0,0
Tyler Thompson,Fastball,119,76.8,13,11,1,1,0,1,25,0.5,0.353,0.615,0.391,0.463,0.323,81.77,12.41,3.36,4
Tyler Thompson,Breaking,29,18.7,1,1,0,0,0,2,2,0.25,0.316,0.25,0.39,0.023,0.306,80.58,14.31,10.34,25
Shea Zbrozek,Fastball,72,69.9,7,7,0,0,0,1,19,0.35,0.317,0.35,0.374,0.24,0.303,73.08,17.41,6.94,4
Shea Zbrozek,Offspeed,3,2.9,1,1,0,0,0,0,1,1.0,0.152,1.0,0.168,0.034,0.139,57.06,-4.02,0.0,0
Shea Zbrozek,Breaking,28,27.2,1,1,0,0,0,2,3,0.2,0.237,0.2,0.281,0.034,0.228,76.22,24.16,7.14,20
Caleb Royer,Breaking,30,22.9,0,0,0,0,0,4,2,0.0,0.099,0.0,0.104,0.0,0.131,89.23,30.22,23.33,44
Caleb Royer,Fastball,89,67.9,5,3,1,0,1,5,14,0.278,0.365,0.5,0.547,0.284,0.361,89.2,11.42,8.99,28
Caleb Royer,Offspeed,12,9.2,0,0,0,0,0,0,1,0.0,0.357,0.0,0.431,0.022,0.314,82.06,9.19,33.33,0
Jack Novak,Fastball,95,73.1,9,6,2,0,1,0,18,0.474,0.319,0.737,0.397,0.344,0.309,83.74,23.94,10.53,0
Jack Novak,Offspeed,3,2.3,0,0,0,0,0,1,1,0.0,,0.0,,0.0,,,,33.33,50
Jack Novak,Breaking,32,24.6,2,2,0,0,0,4,7,0.182,0.177,0.182,0.196,0.051,0.195,72.3,14.27,15.62,44
Cole Freeman,Breaking,28,32.6,1,1,0,0,0,2,2,0.2,0.224,0.2,0.257,0.059,0.213,81.44,11.23,14.29,18
Cole Freeman,Fastball,54,62.8,5,4,0,0,1,3,14,0.294,0.318,0.471,0.395,0.235,0.309,87.09,26.31,12.96,25
Cole Freeman,Offspeed,4,4.7,1,1,0,0,0,2,1,0.333,0.099,0.333,0.115,0.033,0.092,65.05,9.19,75.0,67
Kannon Kleine,Breaking,18,31.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,74.01,-6.52,16.67,43
Kannon Kleine,Fastball,38,65.5,0,0,0,0,0,3,3,0.0,0.074,0.0,0.069,0.063,0.142,79.09,39.5,13.16,30
Kannon Kleine,Offspeed,2,3.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,50.0,NaN
Charlie Graham,Offspeed,3,4.9,1,1,0,0,0,0,1,1.0,0.474,1.0,0.553,0.069,0.451,91.1,0.03,0.0,0
Charlie Graham,Fastball,43,70.5,2,2,0,0,0,2,5,0.286,0.228,0.286,0.268,0.3,0.259,77.6,22.18,16.28,20
Charlie Graham,Breaking,15,24.6,0,0,0,0,0,0,3,0.0,0.168,0.0,0.174,0.0,0.153,69.28,4.84,13.33,0
Michael Kuska,Fastball,64,71.1,0,0,0,0,0,1,8,0.0,0.205,0.0,0.246,0.2,0.266,80.0,15.34,3.12,6
Michael Kuska,Breaking,24,26.7,2,2,0,0,0,1,6,0.286,0.235,0.286,0.211,0.085,0.197,62.36,14.76,16.67,9
Michael Kuska,Offspeed,2,2.2,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,50.0,NaN
Zach Zychowski,Fastball,81,71.1,6,5,1,0,0,2,20,0.273,0.339,0.318,0.405,0.238,0.31,78.0,15.25,3.7,25
Zach Zychowski,Offspeed,4,3.5,0,0,0,0,0,0,1,0.0,0.49,0.0,0.566,0.0,0.383,89.37,8.41,0.0,NaN
Zach Zychowski,Breaking,29,25.4,0,0,0,0,0,0,8,0.0,0.312,0.0,0.366,0.0,0.294,78.62,20.63,6.9,0
Ryan Colucci,Fastball,55,75.3,3,3,0,0,0,4,9,0.231,0.122,0.231,0.14,0.241,0.135,80.49,36.18,18.18,20
Ryan Colucci,Offspeed,2,2.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,58.96,-35.68,50.0,100
Ryan Colucci,Breaking,16,21.9,1,0,1,0,0,1,1,0.5,0.151,1.0,0.168,0.075,0.141,66.0,27.77,6.25,12
