Batter,PitchType,#,%,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff %,Put Away %
Sammy Driscoll,Fastball,61,64.2,11,8,2,1,0,2,18,0.55,,0.75,,0.428,,83.34,10.24,3.28,18
Sammy Driscoll,Offspeed,13,13.7,1,1,0,0,0,0,4,0.25,,0.25,,0.032,,68.08,35.51,0.0,0
Sammy Driscoll,Breaking,21,22.1,0,0,0,0,0,0,2,0.0,,0.0,,0.025,,70.43,40.63,4.76,0
Zach Pomatto,Offspeed,12,20.7,0,0,0,0,0,0,3,0.0,0.306,0.0,0.316,0.0,0.278,77.55,10.94,0.0,0
Zach Pomatto,Fastball,37,63.8,5,3,1,0,1,1,7,0.625,0.366,1.125,0.546,0.463,0.458,88.17,11.32,5.41,14
Zach Pomatto,Breaking,9,15.5,1,0,1,0,0,2,1,0.333,0.156,0.667,0.181,0.079,0.149,82.4,28.53,0.0,50
Kam Ross,Fastball,36,64.3,3,0,2,1,0,3,6,0.333,0.21,0.778,0.242,0.244,0.198,79.2,32.88,13.89,33
Kam Ross,Offspeed,2,3.6,0,0,0,0,0,0,1,0.0,0.114,0.0,0.024,0.0,0.072,82.33,44.52,0.0,NaN
Kam Ross,Breaking,18,32.1,1,1,0,0,0,2,5,0.143,0.188,0.143,0.234,0.052,0.181,70.33,38.38,22.22,50
Cameron Steinbaugh,Fastball,81,70.4,5,4,0,1,0,4,9,0.385,0.301,0.538,0.381,0.426,0.455,88.77,1.88,8.64,17
Cameron Steinbaugh,Breaking,28,24.3,1,1,0,0,0,2,4,0.167,0.166,0.167,0.141,0.059,0.144,77.28,11.29,7.14,15
Cameron Steinbaugh,Offspeed,6,5.2,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,84.9,-8.56,0.0,0
Trey Thompson,Breaking,23,27.7,0,0,0,0,0,3,1,0.0,0.062,0.0,0.038,0.0,0.047,86.9,31.74,4.35,50
Trey Thompson,Fastball,54,65.1,5,3,1,0,1,4,15,0.263,0.228,0.474,0.273,0.307,0.289,79.51,15.63,9.26,31
Trey Thompson,Offspeed,6,7.2,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,16.67,0
Donte Frantz,Fastball,14,100.0,0,0,0,0,0,1,1,0.0,0.194,0.0,0.204,0.232,0.352,78.84,23.32,0.0,25
Ty Cribbett,Offspeed,8,7.9,0,0,0,0,0,0,1,0.0,0.276,0.0,0.22,0.0,0.228,85.53,26.96,37.5,0
Ty Cribbett,Fastball,76,75.2,7,6,1,0,0,0,20,0.35,0.301,0.4,0.334,0.35,0.406,78.42,15.07,3.95,0
Ty Cribbett,Breaking,17,16.8,1,1,0,0,0,1,3,0.25,0.189,0.25,0.229,0.033,0.17,69.04,27.36,11.76,25
Bennett Summers,Fastball,24,66.7,2,1,1,0,0,0,9,0.222,0.263,0.333,0.394,0.166,0.277,84.83,40.1,8.33,0
Bennett Summers,Breaking,12,33.3,1,1,0,0,0,0,4,0.25,0.302,0.25,0.328,0.069,0.275,76.65,18.79,0.0,0
Gabe Peters,Fastball,30,73.2,5,5,0,0,0,1,12,0.385,0.327,0.385,0.403,0.297,0.315,70.09,23.79,6.67,50
Gabe Peters,Breaking,11,26.8,1,1,0,0,0,1,1,0.5,0.46,0.5,0.63,0.059,0.459,68.75,25.91,0.0,20
Will Vogel,Offspeed,1,1.0,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,100.0,NaN
Will Vogel,Fastball,80,79.2,5,3,2,0,0,2,17,0.263,0.325,0.368,0.351,0.219,0.328,81.31,14.59,13.75,11
Will Vogel,Breaking,20,19.8,2,2,0,0,0,3,4,0.286,0.166,0.286,0.176,0.066,0.153,82.62,-2.93,10.0,50
Drew Wichtowski,Fastball,21,80.8,1,1,0,0,0,1,5,0.167,0.139,0.167,0.15,0.391,0.297,83.4,6.31,9.52,25
Drew Wichtowski,Offspeed,1,3.8,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,0.0,NaN
Drew Wichtowski,Breaking,4,15.4,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,0.0,0
Brandon Schultz,Offspeed,11,9.6,1,1,0,0,0,3,2,0.2,0.06,0.2,0.045,0.028,0.051,67.95,-1.93,27.27,100
Brandon Schultz,Fastball,84,73.0,7,7,0,0,0,10,11,0.333,0.232,0.333,0.286,0.238,0.32,74.43,17.8,10.71,42
Brandon Schultz,Breaking,20,17.4,2,2,0,0,0,1,3,0.5,0.297,0.5,0.32,0.056,0.272,85.22,-1.16,5.0,14
Gavin Bailey,Fastball,33,68.8,2,1,0,0,1,3,4,0.286,0.076,0.714,0.049,0.262,0.24,71.86,22.84,9.09,33
Gavin Bailey,Breaking,9,18.8,1,1,0,0,0,2,3,0.2,0.22,0.2,0.252,0.064,0.209,75.75,9.91,22.22,50
Gavin Bailey,Offspeed,6,12.5,1,1,0,0,0,0,1,1.0,,1.0,,0.064,,,,0.0,0
Adan Nieves,Fastball,71,69.6,5,5,0,0,0,5,12,0.294,0.231,0.294,0.26,0.252,0.245,77.59,18.18,8.45,33
Adan Nieves,Offspeed,1,1.0,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,0.0,NaN
Adan Nieves,Breaking,30,29.4,2,2,0,0,0,2,4,0.333,0.317,0.333,0.456,0.069,0.317,78.28,23.83,3.33,13
Sam DesCarpentrie,Fastball,112,70.0,5,3,1,0,1,8,16,0.2,0.236,0.36,0.339,0.232,0.299,79.98,15.35,17.86,24
Sam DesCarpentrie,Breaking,41,25.6,2,2,0,0,0,2,4,0.333,0.267,0.333,0.305,0.103,0.4,80.36,-3.1,12.2,14
Sam DesCarpentrie,Offspeed,7,4.4,0,0,0,0,0,1,0,0.0,,0.0,,0.0,,74.13,-7.81,28.57,25
Kaden Griswold,Fastball,82,80.4,4,3,1,0,0,7,8,0.25,0.133,0.312,0.217,0.232,0.238,77.94,20.69,23.17,33
Kaden Griswold,Breaking,18,17.6,0,0,0,0,0,4,2,0.0,0.115,0.0,0.155,0.0,0.115,62.66,49.59,11.11,44
Kaden Griswold,Offspeed,2,2.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,100
Nolan Bowles,Fastball,46,75.4,2,1,1,0,0,2,7,0.222,0.169,0.333,0.182,0.283,0.289,80.4,17.42,13.04,33
Nolan Bowles,Breaking,14,23.0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,,,7.14,29
Nolan Bowles,Offspeed,1,1.6,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,0.0,0
Clint Goodman,Breaking,22,20.4,0,0,0,0,0,2,3,0.0,0.062,0.0,0.05,0.0,0.052,85.79,21.89,4.55,40
Clint Goodman,Fastball,80,74.1,5,3,2,0,0,3,14,0.312,0.239,0.438,0.278,0.287,0.288,71.11,21.67,11.25,16
Clint Goodman,Offspeed,6,5.6,1,1,0,0,0,2,2,0.25,0.269,0.25,0.298,0.032,0.249,82.17,27.2,33.33,40
Braden Deverman,Breaking,1,50.0,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,0.0,NaN
Braden Deverman,Fastball,1,50.0,0,0,0,0,0,0,1,0.0,,0.0,,0.0,,,,0.0,NaN
Brayden Zilis,Fastball,20,69.0,1,0,1,0,0,0,7,0.143,,0.286,,0.127,,86.48,16.23,5.0,0
Brayden Zilis,Breaking,6,20.7,0,0,0,0,0,1,1,0.0,0.217,0.0,0.295,0.0,0.218,91.24,29.43,16.67,50
Brayden Zilis,Offspeed,3,10.3,0,0,0,0,0,0,1,0.0,,0.0,,0.0,,,,0.0,0
Cameron Heinold,Breaking,3,13.0,1,1,0,0,0,0,1,1.0,,1.0,,0.127,,,,0.0,0
Cameron Heinold,Fastball,20,87.0,3,2,0,1,0,0,4,0.75,,1.25,,0.683,,78.16,28.18,5.0,0
Lucas Rink,Fastball,79,65.8,3,2,1,0,0,2,13,0.231,0.245,0.308,0.275,0.204,0.337,81.6,27.57,7.59,15
Lucas Rink,Breaking,31,25.8,1,1,0,0,0,2,7,0.1,0.185,0.1,0.204,0.05,0.173,79.15,23.87,16.13,40
Lucas Rink,Offspeed,10,8.3,0,0,0,0,0,0,1,0.0,,0.0,,0.0,,,,10.0,0
Blake Willan,Fastball,53,77.9,3,3,0,0,0,3,9,0.25,0.3,0.25,0.38,0.254,0.338,78.5,16.46,20.75,20
Blake Willan,Breaking,14,20.6,0,0,0,0,0,1,1,0.0,0.152,0.0,0.131,0.0,0.129,85.55,25.02,28.57,25
Blake Willan,Offspeed,1,1.5,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,0.0,NaN
Braden Mehn,Fastball,29,76.3,3,3,0,0,0,1,5,0.5,0.402,0.5,0.511,0.339,0.544,78.63,20.04,3.45,33
Braden Mehn,Breaking,8,21.1,1,0,1,0,0,0,2,0.5,0.434,1.0,0.544,0.164,0.562,72.03,26.76,0.0,0
Braden Mehn,Offspeed,1,2.6,1,1,0,0,0,0,1,1.0,0.455,1.0,0.506,0.074,0.428,86.71,11.51,0.0,NaN
Brady Hart,Fastball,31,60.8,5,5,0,0,0,1,8,0.556,0.265,0.556,0.305,0.343,0.323,69.14,6.49,9.68,14
Brady Hart,Offspeed,9,17.6,1,1,0,0,0,0,2,0.5,0.248,0.5,0.182,0.059,0.184,62.99,32.78,0.0,0
Brady Hart,Breaking,11,21.6,1,1,0,0,0,0,3,0.333,0.43,0.333,0.509,0.059,0.414,67.77,19.88,0.0,0
Brayden Elliott,Fastball,14,60.9,0,0,0,0,0,0,4,0.0,0.096,0.0,0.07,0.0,0.076,71.75,14.1,7.14,0
Brayden Elliott,Breaking,5,21.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,40.0,100
Brayden Elliott,Offspeed,4,17.4,0,0,0,0,0,0,1,0.0,,0.0,,0.0,,64.07,34.12,25.0,0
Brooks Neuhoff,Fastball,15,78.9,0,0,0,0,0,1,1,0.0,0.097,0.0,0.096,0.182,0.298,72.34,-8.2,13.33,33
Brooks Neuhoff,Breaking,3,15.8,0,0,0,0,0,1,1,0.0,0.135,0.0,0.161,0.0,0.129,82.97,-8.64,0.0,100
Brooks Neuhoff,Offspeed,1,5.3,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,0.0,NaN
Cole Yates,Fastball,75,66.4,6,3,3,0,0,1,22,0.261,0.247,0.391,0.288,0.231,0.306,74.93,2.77,8.0,9
Cole Yates,Breaking,33,29.2,1,1,0,0,0,4,2,0.167,0.1,0.167,0.119,0.052,0.221,54.51,-18.43,15.15,57
Cole Yates,Offspeed,5,4.4,1,1,0,0,0,0,1,1.0,,1.0,,0.029,,87.83,14.54,20.0,NaN
Deegan Aeilts,Fastball,45,60.8,2,1,1,0,0,3,8,0.182,0.29,0.273,0.349,0.177,0.362,80.77,13.31,6.67,18
Deegan Aeilts,Offspeed,11,14.9,1,1,0,0,0,1,2,0.5,0.097,0.5,0.0,0.079,0.048,84.0,41.89,9.09,25
