PitchUUID,Stuff+,delta_run_exp_mean
baa69949-f5be-4735-9d25-2f75ba7bae21,75.84345,-0.3066600910512689
be90e530-9399-4f98-a2ce-ee570b9404e6,103.65697,-0.0027889833593668
87e067df-8a19-420a-acf7-47084397475f,112.13754,-0.0047350402939837
bc5425d6-d6dd-47b6-be90-21a7fa74d9d5,99.555466,-0.005143965724844
3ee4f22c-81fd-4031-a380-8e84deeba114,103.93037,-0.0070085473190721
2fe54617-5a72-416d-b6da-692ec048abd3,105.11124,-0.0017301174741864
dc995acf-05e9-4102-b080-c605b57bd23b,-63.13394,-0.3107128412766607
8acb1199-7e4a-46aa-933a-e2bb27dbddd0,-55.689102,-0.3066600910512689
f7a00df5-8873-4d0e-a4cb-7e8ef834b32a,83.17364,-0.0015084264877677
fa92f38b-f9a1-44f6-a232-9496ab03c766,101.6522,-0.0052768876913169
67365a27-19ad-4e93-88ee-bb83a61145da,-31.82698,-0.2643760545552022
82fbc446-10f6-4713-8526-2908077ebdab,111.20419,-0.0027889833593668
8b9a149f-ec90-478b-9553-0923c6df1056,110.02114,0.0
ab0e752f-c4c7-42e4-af7c-18081dc8c1ac,104.38168,-0.0023656702153769
c6692327-1388-46e0-a9e3-2d3a5a909d04,103.41814,-0.0047350402939837
9de859e3-81ac-4920-97cc-200e574b6a67,92.51009,-0.2643760545552022
7bfa199b-fa77-4c56-a41d-78391a96f93d,109.85463,-0.0015084264877677
03fdd35a-59dc-4fba-b95a-b037bc2fd706,323.27576,0.404250718903375
d8374559-0148-432d-b209-46e9ca28d080,106.16685,-0.0015084264877677
01e95535-1eae-4652-a6a9-784d1477a4f9,105.49072,-0.0026313207267571
754052ce-1408-4556-841e-9ecfd9614465,87.04585,-0.0032740145275165
cce1114c-630d-4b41-8202-18c4ee59e517,102.6268,0.0
3679af4c-cc73-439d-aedb-8581229d250e,129.11473,0.0509554140127388
5bbf652d-b868-465a-9bca-a3b693ffd30f,-60.854324,-0.3066600910512689
cce4c022-e4bc-4d36-8201-77a72c70b8ff,130.0316,-0.0015084264877677
1f0a427d-b2fd-4534-99f7-cb808d086aee,103.38843,-0.0026313207267571
899e3925-4650-4af7-8171-5381408e0277,112.632,0.0
9346ba63-65c9-4da1-a727-bb6ea2e7eebd,102.45786,-0.0021576512766823
0b5ea842-b363-4bc4-afce-a1f517fd7282,104.2566,0.0
4cb8d0c9-58cc-4ee8-b402-b94fa1b7fc00,-47.02803,-0.3107128412766607
9740f928-0438-438c-8a67-4336ffdc1176,105.14819,-0.0023656702153769
9e939b1e-3248-4d42-96d6-442f491ec1bd,149.09218,-0.0003116906981502
b4b522d5-48eb-4190-8b62-8205300341fa,107.706696,0.0
14d26b5e-f917-448b-bf24-6c8555219118,250.56853,0.2817137663313962
aa3269c1-f827-4d23-8047-3b1adce7c843,98.306465,-0.0080450986281523
14ff7414-e7cc-4918-821f-43f3ae16330a,104.92319,-0.0047350402939837
52252ec8-a9b1-4862-b435-c2038a98d8bf,104.08557,-0.005143965724844
cbd9565e-9752-4317-b328-d62dca9ba782,-47.11116,-0.2982508193316343
60699d90-fab5-4b3d-8170-4ddb27e1f7c7,206.71974,0.1917011728413722
31ba6456-c947-47af-a24d-657d871fd68f,105.62666,-0.0027889833593668
52b6802f-7f74-48a9-86f8-bcf0e6b683b8,103.84024,-0.0047350402939837
f9aa2768-8b0a-4cb5-b165-d201682a4bca,105.481415,-0.0016017590095178
22cffcbe-2aab-4a92-89da-7d7cb9cdbd7f,104.162384,-0.0021576512766823
f0130d8f-6879-4e7c-9425-f7759698f5f3,104.976,0.0
38ce7ad4-2060-4a87-a762-ffc52511aca3,-56.64032,-0.3107128412766607
4eda1b24-b447-4430-bf02-dc2de43bc76e,103.59522,-0.0023656702153769
b9460688-c615-444c-a4b8-6d4c1c9e8cc6,103.32247,-0.0003116906981502
c55b7443-f844-4cdf-8aab-69e7208feaa4,80.35686,0.3463973872076965
26b45e1c-e2fd-4b2f-8c9e-ef593c7bab4f,99.44646,-0.0080450986281523
779b9d04-fa5a-4dcd-9ed6-036c4fa8f327,128.43286,-0.0003116906981502
422a8c57-fa60-4032-858a-00951cfd0f29,103.87716,0.0
7b701235-2145-4b5a-a645-e6303e7cdcb6,104.417435,0.0
3dfdddfb-346a-48b2-9be4-ae6696288c11,107.885826,-0.0017301174741864
757f8a86-0200-4e90-a7b2-8bb319457714,106.99137,0.0
532cac37-79e7-40b6-a5e4-2f8f7b33bde6,135.5762,0.0464135021097046
848dc695-edf5-4579-86b9-9ef6518f915c,103.99347,-0.0023656702153769
9fce8e36-39df-487b-aef4-82ecdd3e3937,369.27426,0.5015368345271686
bdef9ebd-6e84-4fb5-bf0a-5895bdd6658c,98.486206,-0.0015084264877677
070ffa05-90d2-4957-a72b-c264744a55a3,107.51696,-0.0026313207267571
bf0b6fdb-cc59-4135-a53e-868aee63037b,-47.699905,-0.2931928613542512
93d4a465-7bbb-42bc-9d26-fd4bdfb8a408,108.496704,-0.0015084264877677
d176d8cf-99ba-430a-bdf8-c7de43d67487,116.25257,-0.0006965609515182
50242d41-4944-4fd4-8523-4bf37a775f6b,101.61805,0.0
c01cf0b7-cb70-4eb4-9005-35bb62e4c505,105.72344,-0.0070085473190721
ec599c48-9cd6-405e-bf61-0b55b6c2ea65,86.15651,0.0
72e3d0ad-75bb-4a86-93a1-ed5cc99e3fcd,64.59358,-0.3066600910512689
a0c947ef-841b-4f4f-a6dd-ad966596761d,106.753586,-0.0023656702153769
0592e6ad-b8c4-45b5-9d2d-44a4cf604894,85.12231,-0.0026684862737452
40102b01-38f0-46d8-b5db-3e403696be3e,-56.322372,-0.3052495049914568
805ce494-1bdc-4d7a-aa80-e6a667492e2f,109.0903,-0.0027889833593668
97f681c3-189e-45f0-a917-b7e03305ef38,106.51178,-0.0047350402939837
de701ad3-137f-420a-b662-486c0b3d406d,102.2824,-0.2643760545552022
f3157cbd-3cee-4ff6-a4eb-b769f42df552,104.87584,-0.0023656702153769
894ede1f-5711-4216-a373-f4fef6a64ee0,100.28869,-0.0078215680067531
efb42109-9312-4f5b-bd67-bcdf257a2648,110.071434,0.0
641b2db5-877c-4248-ba42-2ac87787b25e,103.51427,0.0
a38c8b31-4671-4356-bb7b-8ffb0a507acb,-53.669678,-0.3091451514169687
82a9a61c-949a-4854-9bb0-8ae17eb0e0dd,88.67543,-0.0023656702153769
29d8b847-fffb-44fd-8b8f-decc89ba6c1c,131.17328,-0.3178730886193978
