PlayResult,TaggedHitType,ExitSpeed,Angle,xBA
1,GroundBall,57.05749555691095,-4.024281293,0.6511433124542236
0,LineDrive,79.43470554955877,18.280409964566257,0.03243206813931465
0,GroundBall,,,0.5640818476676941
0,FlyBall,95.52690827259909,23.735942662904336,0.4723168909549713
0,FlyBall,79.51662813603016,27.728242559849267,0.1322678178548813
1,GroundBall,85.86514291232184,0.4170056945894865,0.6489309072494507
1,LineDrive,101.5358701969479,8.325161820806592,0.9725493788719177
0,GroundBall,38.30332811682252,-11.17495649,0.04518941417336464
1,LineDrive,75.92691560885545,16.81871455621983,0.09239703416824341
0,FlyBall,82.94900117909457,42.79277474525035,0.015413208864629269
0,GroundBall,,,0.5640818476676941
0,LineDrive,76.33790809502054,10.03569197,0.2640558183193207
0,FlyBall,75.37182055800263,32.33447880419722,0.12593765556812286
0,Popup,,,
1,GroundBall,101.28714061622574,-6.186196796,0.8483530879020691
1,GroundBall,111.9105857797845,1.565100441621392,0.5967362523078918
0,FlyBall,83.46899235,33.41452301707419,0.006774398498237133
1,,91.09875582350531,0.0276602377316308,
1,GroundBall,,,0.5640818476676941
0,GroundBall,96.47116703889697,4.506539467356186,0.06186253949999809
1,LineDrive,96.97746790603108,12.433101962169909,0.9982706308364868
1,LineDrive,93.65042946622177,19.717559720241542,0.9107103943824768
0,GroundBall,84.70617171544008,-3.53220006,0.21378406882286072
0,LineDrive,100.14512141935664,19.10970806111163,0.39009717106819153
0,FlyBall,83.61641146337826,47.11653516,0.015413208864629269
0,GroundBall,,,0.5640818476676941
0,LineDrive,73.55914921575031,14.386243038933475,0.10565230250358582
1,,95.23705725588744,4.505593804927304,
0,FlyBall,78.59398988598295,26.61428588784831,0.042225904762744904
0,Bunt,,,
0,GroundBall,97.26942309617408,2.7604767350946564,0.07693289965391159
1,LineDrive,96.28505787491558,11.779440561519126,0.9982706308364868
0,LineDrive,89.88603387004505,17.16165377274994,0.19827523827552795
1,FlyBall,72.03552841884606,37.21100550866642,0.35548853874206543
0,GroundBall,95.80310012,0.3664806456834277,0.07635734230279922
1,LineDrive,69.93898004386674,22.853026360854003,0.7438964247703552
0,Popup,72.96699430579709,55.79600316321695,
1,GroundBall,,,0.5640818476676941
1,LineDrive,,,0.8827060461044312
0,Popup,69.11664581763513,63.15160513680215,
0,Popup,,,
0,FlyBall,81.36475292278485,28.026455900023752,0.1322678178548813
0,FlyBall,84.93182954285486,47.197174274891424,0.015413208864629269
0,FlyBall,74.39950738662576,45.73190008320917,0.2059449851512909
0,GroundBall,50.08440184394097,-19.00529533,0.19237972795963287
0,GroundBall,,,0.5640818476676941
0,GroundBall,88.00803695599389,-1.309567446,0.929434061050415
0,GroundBall,,,0.5640818476676941
0,FlyBall,87.40440494796057,43.61377681342096,0.015413208864629269
0,Popup,85.83217550157224,67.53971358454942,
0,GroundBall,,,0.5640818476676941
1,FlyBall,111.6410440298944,22.548613013688566,0.4723168909549713
0,GroundBall,,,0.5640818476676941
