PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,RunValue,ff_diff,ivb_diff,hb_diff,ang_diff,PitchType_Changeup,PitchType_Curveball,PitchType_Fastball,PitchType_Sinker,PitchType_Slider,PitchType_Cutter,PitchType_Knuckleball,PitchType_Splitter,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Stuff+,xBA,xWOBA,Good Swing Decision
1,07/25/2025,5:40:56 PM,1,1,Graham Kasey,,Left,Normal cornbelters,Will Geary,,Left,O'fallon hoots 2025,Windup,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,75.52757274485475,2.577949325584511,-3.308557237377468,1811.6763278836652,255.29843576283173,2:30,4.73976879578332,2.0988387021108776,6.000000192000004,-47.78455849056114,2.3956672456428336,3.3830599876931564,3.159272842608833,0.6976141680752023,67.60261871075393,-6.475687258555688,-2.6664425061384063,0.5098446045980344,,,,,,,,,,,,-2.9867819076395223,0.3957718830989576,-1.8309948957620892,50.0,4.922659264989273,6.236522889825977,-109.47292202510482,3.636965259033201,-3.537234729389288,23.665986595226727,-31.705338413539533,Normal Cornbelters,O'Fallon Hoots 2025,,,,62f4d4d9-e806-4c42-bf48-9bffa15cd4d1,5248789e-4285-4ae4-81ed-b3bd3e3278ce,75.73704800591048,4.731438935944172,2.095023800659885,2.6776954666829846,-3.2618126101794997,67.75374542805085,3.1664801604276724,-0.69506493656956,-6.358363875595511,-2.625205711401822,0.509639561836318,2.9363819774424336,-0.4379257711377531,82.43578929807991,65.59964324169742,238.48399506823583,1795.9110504449643,13.163719776966133,-0.033407460928897,0.991297961343284,-0.1273275044557661,,,,,,,,,,,,,,,,,0.993318289140002,0.0,,,medium,high,30.960321082472333,-15.038440383424234,54.667001749344,Kannan Kleine,,Normal cornbelters,2022-11,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,112.22434,0.0,,-2
2,07/25/2025,5:41:10 PM,1,2,Graham Kasey,,Left,Normal cornbelters,Will Geary,,Left,O'fallon hoots 2025,Windup,1,Top,0,0,1,Fastball,,Foul,,,,,,,88.5140842843935,-0.4385942352917878,1.030676533531682,1779.0994142938762,124.6580605835627,10:15,5.1983454342795685,-0.7014705678006052,6.000000192000004,-23.327560313343263,12.996649971754856,-15.755733831563296,2.846681343468819,1.0564408667011462,79.23273655197308,-4.861781994039764,-1.9657068152143284,0.4337800885083162,,,,,,,,,,,,8.884820733150324,7.186510385532915,0.626611595711748,49.99999999999999,5.149135223453049,-1.80995805218326,-128.62396519879547,-1.7310968408642118,14.539299469759284,32.445213154045994,-20.41389935044764,Normal Cornbelters,O'Fallon Hoots 2025,,,,62f4d4d9-e806-4c42-bf48-9bffa15cd4d1,4ac5d4b6-e9cf-4ab7-ac51-6c55797e1d4b,88.75558497756931,5.197771063442502,-0.7091153904063702,-0.4329297482579883,1.1214608973863494,79.42310527843775,2.847837748190773,-1.0505050052160854,-4.8436233144034935,-1.8757396651915503,0.4335991006294721,-16.60561596705176,11.604353739205544,9.372789570667209,3.399290179183382,1755.3477530501702,289.73952406002786,98.66496155004734,-0.561085512925635,0.1628574107394809,0.8115790232332333,,,,,,,,,,,,,,,,,0.9918238786437517,0.0,,,medium,high,86.94063883873494,19.399769301962955,54.667001749344,Kannan Kleine,,Normal cornbelters,2022-11,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.665924,0.0,,-1
3,07/25/2025,5:41:28 PM,1,3,Graham Kasey,,Left,Normal cornbelters,Will Geary,,Left,O'fallon hoots 2025,Windup,1,Top,0,0,2,Changeup,,Foul,,,,,,,75.89598482386913,2.3158017970090707,-1.776247551155261,1749.9459181691695,268.08479529158205,3:00,4.9509895548405245,1.1801674381575065,6.000000192000004,-47.18663825230457,2.3761007576298567,4.185639535783107,3.173269078640027,0.1223915534738671,67.97563182190012,-6.632303379689551,-0.9800502336536644,0.506697978828736,91.63971131309223,36.50158574569895,-60.621844306969805,,-95.43178705204303,54.70625211035557,64.79885831295775,310.7112383925011,,-60.46418835427878,4.263888834788375,-2.886532480637852,0.477042478877879,-1.0378539006092309,50.00000000000001,5.1125759316374015,3.301560242421563,-110.15820376126466,3.165165019844701,-3.460990235147017,23.98637498857041,-31.60206940832265,Normal Cornbelters,O'Fallon Hoots 2025,,,,62f4d4d9-e806-4c42-bf48-9bffa15cd4d1,c1079eff-79b7-4b21-a75e-1d60554be708,76.10687034845819,4.942410257393664,1.1768036385796403,2.416575033412145,-1.735666980871918,68.12703942734893,3.181038405877817,-0.1200579108661215,-6.515074675043209,-0.9451122993332702,0.5064863256105854,3.800999581850605,-0.4437787282909883,80.46955133908381,65.16722701066514,289.74154031525865,1725.7927327268123,16.557171127802185,-0.0055334734064252,0.9861977532039236,-0.1654792199872631,-64.19061675056747,36.13731743918425,54.511427233455215,-0.0119188109610563,1.317659563698388,3.4874847032218232,-270.3336125886481,153.1705310044082,,,,,,,,,0.987639364204447,0.0,,50.676906008772505,medium,high,31.34949569040134,-42.31033921376184,54.667001749344,Kannan Kleine,,Normal cornbelters,2022-11,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,112.6153,0.0,,-2
4,07/25/2025,5:41:45 PM,1,4,Graham Kasey,,Left,Normal cornbelters,Will Geary,,Left,O'fallon hoots 2025,Windup,1,Top,0,0,2,Fastball,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1.0,0.0,,90.02107490542632,-1.5198079105428366,2.2291158629879173,1995.442898347874,127.36322837917892,10:15,5.637820513631625,-0.740313829914707,6.000000192000004,-20.982814374308244,14.141488381500974,-15.571052855750992,2.475351399202686,-0.0348704568458284,80.68925082837258,-5.4919032915835695,-0.7290951543453209,0.4265553352708663,,,,,,,,,,,,9.183940771280849,8.169057332941659,0.5676610558737514,49.99999999999999,5.501760292012894,-4.58091389855064,-130.7102158557207,-4.153806616689399,15.549227594788448,33.03938298295534,-18.343109810996413,Normal Cornbelters,O'Fallon Hoots 2025,,,,62f4d4d9-e806-4c42-bf48-9bffa15cd4d1,72b2c037-871e-4290-b7fc-a0b03ea7a927,90.26256048930388,5.638137672557405,-0.7479320092850009,-1.524641361989382,2.320313351608835,80.8829785801919,2.475788439085986,0.0409012474778122,-5.48448826203709,-0.6380588281213067,0.4263824320711932,-16.42597064579753,12.958245295358932,13.876997889712992,15.170145587696876,1937.2015979662417,478.5836702228815,97.08128453939456,-0.5891531826158604,0.2398383189111172,0.7716061872454704,,,,,,,,,,,,,,,,,0.995092222738319,0.0,,,medium,high,103.6531310289272,-14.158386554771038,54.667001749344,Kannan Kleine,,Normal cornbelters,2022-11,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,111.69555,0.0,0.0,-1
5,07/25/2025,5:42:16 PM,2,1,Graham Kasey,,Left,Normal cornbelters,Daniel Gierer,,Right,O'fallon hoots 2025,Windup,1,Top,1,0,0,Fastball,,Foul,,,,,,,89.94409377831836,-1.2207319224064646,-0.1621073108189535,1884.339340531175,123.1193932922402,10:00,5.50408523775734,0.5046034059557105,6.000000192000004,-22.93714999433616,12.271751968160808,-15.696870908674226,2.457939205720635,0.9541311473723668,80.60591677123583,-5.560319774913354,-3.146330095143161,0.4270687196976805,,,,,,,,,,,,8.441565611889402,7.069423515550764,-0.4823362372501626,49.99999999999997,5.391392617610242,0.8796523860366493,-130.68902090558217,-3.5299485843779257,14.248475845063371,33.71625981532772,-20.241605436305964,Normal Cornbelters,O'Fallon Hoots 2025,,,,62f4d4d9-e806-4c42-bf48-9bffa15cd4d1,0068ee30-fb5d-4c00-879b-5b7067e5c5fb,90.18584303556058,5.503634696519067,0.4965786179701467,-1.2165189742034677,-0.0672976762214471,80.79522118045105,2.458971673315591,-0.9481491806639446,-5.543940648622352,-3.053395627224042,0.4268928778296837,-16.58617998143475,10.908536808578797,16.681303678380786,25.67555201019413,1805.0392039452397,540.8957593605262,95.79162123932616,-0.5233915076681304,0.287047957725095,0.8022872301531001,,,,,,,,,,,,,,,,,0.9962652020981292,0.0,,,medium,high,113.10799680917472,-8.466603875436594,54.667001749344,Kannan Kleine,,Normal cornbelters,2022-11,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,112.5238,0.0,,-2
6,07/25/2025,5:42:36 PM,2,2,Graham Kasey,,Left,Normal cornbelters,Daniel Gierer,,Right,O'fallon hoots 2025,Windup,1,Top,1,0,1,Fastball,,BallCalled,,,,,,,90.10983384513736,-0.2924972850265153,-1.904286614625363,1986.130042854905,124.33818943635484,10:15,5.3963889417873325,0.4562577152398866,6.000000192000004,-22.10938730844584,13.071546686536127,-16.456700615819635,3.2819422024929503,2.685617966694716,80.59303180790317,-4.479227718202794,-5.027946329984094,0.4268990663385238,,,,,,,,,,,,8.236764365224074,7.185206753175327,-0.2916058043401274,50.00000000000005,5.359811420923124,4.885254361588853,-130.86426675693528,-1.3861850105607567,13.905451447152622,34.4290837303644,-20.0438563191061,Normal Cornbelters,O'Fallon Hoots 2025,,,,62f4d4d9-e806-4c42-bf48-9bffa15cd4d1,20e545b9-54a2-4790-b813-85fd48f20b95,90.354416697481,5.396256764762977,0.4480304997892015,-0.2921138974452395,-1.807038816872207,80.78553538189485,3.282757948014744,-2.679337266660633,-4.466451452341159,-4.93204056608444,0.4267168876725698,-17.368322160169154,11.665036909847824,11.00519857945751,12.46389904225874,1949.604846286838,379.14837526448974,98.16098665344364,-0.5537031012433906,0.1908980615989746,0.8105373561725614,,,,,,,,,,,,,,,,,0.9965474088242692,0.0,,,medium,high,78.7824908619671,-8.437797880490102,54.667001749344,Kannan Kleine,,Normal cornbelters,2022-11,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,110.73977,0.0,,-1
7,07/25/2025,5:42:53 PM,2,3,Graham Kasey,,Left,Normal cornbelters,Daniel Gierer,,Right,O'fallon hoots 2025,Windup,1,Top,1,1,1,Slider,,Foul,,,,,,,79.81041356031947,0.6361542770980603,-2.030875057751043,1955.713041613608,271.42235362808304,3:00,5.027682208152373,0.7110853756573434,6.000000192000004,-42.975341071663664,1.8016439639096904,2.538422876881709,2.0380372801982065,0.9656526674122116,71.6557471550115,-7.498396692954259,-1.5481320351842789,0.4816138264363264,,,,,,,,,,,,-2.08548484780328,0.7527049627173666,-0.5470570864170942,50.00000000000004,5.054731675886905,4.037027966411468,-115.90798187084832,0.0501268710719815,-2.767590207972299,26.610939890174528,-31.175155306569952,Normal Cornbelters,O'Fallon Hoots 2025,,,,62f4d4d9-e806-4c42-bf48-9bffa15cd4d1,088c6120-f5ad-4206-bb2a-db49ca2d6d2a,80.02699595216019,5.019733994834537,0.7071599737732294,0.7284185177930561,-1.9842222659260225,71.81288958141681,2.0450535432359254,-0.9629394664813672,-7.392832007039261,-1.5074153727690338,0.4814122242695327,2.097141094568154,-0.7656152966726552,86.53975309103733,71.99136630180084,118.03898345909114,1952.147612124015,6.0355983187441575,0.0014981685412437,0.998176915828791,-0.0603373863996838,,,,,,,,,,,,,,,,,0.9910849558857764,0.0,,,medium,high,25.20777032837928,-4.741160497930661,54.667001749344,Kannan Kleine,,Normal cornbelters,2022-11,0.0,5.032063930874216,11.040181081568468,-14.018199164859057,-0.5155389540844472,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99.22223,0.0,,-2
8,07/25/2025,5:43:14 PM,2,4,Graham Kasey,,Left,Normal cornbelters,Daniel Gierer,,Right,O'fallon hoots 2025,Windup,1,Top,1,1,2,Fastball,,BallCalled,,,,,,,91.78787883530651,-0.1346232444265975,-2.3914262028333075,1902.036946005822,125.80562117208586,10:15,5.234869597911334,0.5948512377300817,6.000000192000004,-21.581634407251485,12.354861500763818,-14.907250730062112,3.311172688365743,2.8712876407341694,82.04147719162329,-4.222579937448101,-5.219413192256002,0.4192808442528819,,,,,,,,,,,,7.222225080337932,6.741373127435528,-0.3913584524610183,49.99999999999998,5.211462630851303,6.057833562337787,-133.25740896219952,-1.026628010659751,12.638856406104082,35.77864696299782,-20.376681601777644,Normal Cornbelters,O'Fallon Hoots 2025,,,,62f4d4d9-e806-4c42-bf48-9bffa15cd4d1,1524aa2c-d734-4e27-824f-ad7cca614fb7,92.03753367429918,5.2348366296774165,0.58728811625952,-0.1353621372024711,-2.300275566711285,82.24387887985186,3.311930081098206,-2.865239347411608,-4.210666083453337,-5.127443808987919,0.4191007316947802,-15.762197830412092,10.999686740457634,20.418999788785804,34.94867908051295,1782.5250170485083,663.5880556243977,93.71663472635048,-0.5482772169624882,0.3488828421645005,0.7600479299380329,,,,,,,,,,,,,,,,,0.9959625009764824,0.0,,,medium,high,58.54618882753832,-64.56044952797663,54.667001749344,Kannan Kleine,,Normal cornbelters,2022-11,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,110.98067,0.0,,-1
9,07/25/2025,5:43:30 PM,2,5,Graham Kasey,,Left,Normal cornbelters,Daniel Gierer,,Right,O'fallon hoots 2025,Windup,1,Top,1,2,2,Changeup,,BallCalled,,,,,,,82.29332327584973,1.7089200586671969,-3.4402296846911127,1495.8118745229808,94.78520579133296,9:15,4.649783831305865,1.8189358956134565,6.000000192000004,-38.21232328941641,4.264878858478134,-18.54983392521055,3.0570221859251845,2.928059268358231,73.57193247867463,-5.525649454775372,-6.952029193860406,0.4690827624571628,,,,,,,,,,,,8.791462301289066,1.682610887603092,-1.5277240601603566,49.99999999999995,4.767332368905989,7.717663298488826,-119.27929599487813,2.438085829621074,12.280434689819296,29.443322658183245,-29.823679146424904,Normal Cornbelters,O'Fallon Hoots 2025,,,,62f4d4d9-e806-4c42-bf48-9bffa15cd4d1,c8c31493-3441-48ae-8e58-cf653db474b5,82.50125845068062,4.643518975670402,1.8112579548976504,1.7831015739334868,-3.34825671445557,73.72358640244646,3.0627361126425807,-2.9219331247392124,-5.439221195590249,-6.859106345096582,0.4688970286872237,-19.413542520624368,1.7449164433529556,-10.478220590782646,20.21381419563305,1470.8678773005142,-272.030975238912,98.3324108033023,-0.0820294265775665,-0.18186175673038,0.9798966652735868,,,,,,,,,,,,,,,,,0.997229724458215,0.0,,,medium,high,71.80756722393023,52.01103258982572,54.667001749344,Kannan Kleine,,Normal cornbelters,2022-11,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,117.48311,0.0,,-1
10,07/25/2025,5:43:49 PM,2,6,Graham Kasey,,Left,Normal cornbelters,Daniel Gierer,,Right,O'fallon hoots 2025,Windup,1,Top,1,3,2,Fastball,,BallCalled,Walk,,Walk,0.0,0.0,,89.05697651460423,1.2868770359601984,-1.610080222456458,1664.474314116551,122.73676014913984,10:00,5.342062753270214,0.0244694207049985,6.000000192000004,-24.363546323292685,11.668746694703191,-15.326470608911348,4.508456122909905,2.749528916365722,79.45773930507,-3.34138395290309,-4.522022813897364,0.4320335490279463,,,,,,,,,,,,7.728583114333312,5.862203890890773,0.1155422451555713,49.99999999999997,5.432909211532043,4.126648345725393,-129.32231827107034,2.12481359983446,12.738409750712549,33.68871340537249,-22.511844483243625,Normal Cornbelters,O'Fallon Hoots 2025,,,,62f4d4d9-e806-4c42-bf48-9bffa15cd4d1,f6dac3e6-0a44-4c82-9543-0613b480b4b4,89.30658989333925,5.341120621802156,0.0166639706727395,1.2968809308020377,-1.517972504501721,79.65322423185835,4.509917358087047,-2.743616910048333,-3.318329688145748,-4.431164045555569,0.4318449192980366,-16.189879110913996,10.123770194041848,14.755869488528536,18.378362706348128,1609.579703804478,423.94329745197416,96.70198513449516,-0.5229451020473814,0.2547010151231978,0.813422284634412,,,,,,,,,,,,,,,,,0.9946681942991478,0.0,,,medium,high,106.54052643571332,23.460527485228567,54.667001749344,Kannan Kleine,,Normal cornbelters,2022-11,0.695,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,111.61595,,0.695,-1
