PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,RunValue,ff_diff,ivb_diff,hb_diff,ang_diff,PitchType_Changeup,PitchType_Curveball,PitchType_Fastball,PitchType_Slider,PitchType_Cutter,PitchType_Knuckleball,PitchType_Sinker,PitchType_Splitter,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Stuff+,xBA,xWOBA,Good Swing Decision
37,07/25/2025,8:58:52 PM,2,1,Cody DelFavero,,Right,Normal cornbelters,Brady Wilson,,Right,O'fallon hoots 2025,Windup,3,Top,0,0,0,Fastball,,StrikeSwinging,,,,,,,85.6960180021644,-1.0773421414089586,2.4687258218486225,2044.663838333572,126.0027529586402,10:15,5.646929402595812,-1.213198672642254,6.000000192000004,-24.366720957305308,14.388255012112058,-16.44613598786512,2.61404595459738,0.2878709779615307,76.84593463501133,-5.69009909270962,-0.6552290339217943,0.4480590548225995,,,,,,,,,,,,9.73805614981543,8.15115977112715,1.0215029925788326,50.00000000000002,5.544981470096786,-4.854950467486119,-124.4316462758362,-3.097490010113896,14.943224273443525,29.915584353848324,-19.66594666743835,Normal Cornbelters,O'Fallon Hoots 2025,,,,040cdbbe-15cd-404b-a01e-d95a3a6f7e46,7311b6f6-c753-4f82-bf3f-d360bba6f113,85.92706090858792,5.646747377611587,-1.2212906049466328,-1.0762780551536468,2.566109865515493,77.03003256985666,2.614964900155027,-0.2814191899593,-5.675370049673225,-0.5579578822507012,0.4478775022364726,-17.359808321348165,13.026005727995653,13.37106999138811,35.83007419656676,1989.2386628871188,472.8422082090845,97.2892768773362,-0.5718898389841112,0.2312566982132657,0.787059306277631,,,,,,,,,,,,,,,,,0.6703396461955157,0,,,medium,high,57.75293322308991,54.81477777813083,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,111.75762,0.0,,-1
38,07/25/2025,8:59:10 PM,2,2,Cody DelFavero,,Right,Normal cornbelters,Brady Wilson,,Right,O'fallon hoots 2025,Windup,3,Top,0,0,1,Changeup,,StrikeSwinging,,,,,,,76.44099208791091,0.6166174465223508,0.025073927954956,,,,4.9020448149826095,-0.4766389463101559,6.000000192000004,,,,1.6390276533097812,0.4533353948056866,68.73603020780327,-8.092789916652126,0.0250739279549566,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,O'Fallon Hoots 2025,,,,040cdbbe-15cd-404b-a01e-d95a3a6f7e46,541f5573-1c0e-4fad-988e-bfe623813b95,76.6481803254306,4.894290099943537,-0.4766389463101557,0.7085963193055654,0.0250739279549559,68.88646611570763,1.6461188521233605,-0.4533353948056868,-7.985422099054815,0.0250739279549559,0.5023551521649945,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,107.094154,0.0,,-1
39,07/25/2025,8:59:27 PM,2,3,Cody DelFavero,,Right,Normal cornbelters,Brady Wilson,,Right,O'fallon hoots 2025,Windup,3,Top,0,0,2,Fastball,,BallCalled,,,,,,,86.86334507679699,0.1801199816387104,2.5912150294379845,2033.1535306158253,118.98151308605443,10:00,5.560177741835513,-0.8985115124703713,6.000000192000004,-25.59054481301687,12.15553377892052,-17.89802409513361,3.5952064977728404,-0.0198884919448681,77.70732961126865,-4.674472454134825,-0.8099941534745304,0.4421884986337702,,,,,,,,,,,,10.57462660632494,6.515932532463995,0.6976512778640966,50.00000000000003,5.560065956915878,-5.146119748486213,-126.12842246054026,-0.4065731679609441,16.65688622923721,30.95596707702711,-21.9103163203998,Normal Cornbelters,O'Fallon Hoots 2025,,,,040cdbbe-15cd-404b-a01e-d95a3a6f7e46,27a5d3d4-5e4e-42e0-8b00-3ad3b76bcd32,87.09521414439281,5.559156497114556,-0.9073310235167718,0.191131081940319,2.6967070150842183,77.88839833091312,3.596729999484333,0.0267605452941854,-4.650497951906591,-0.7053673116906742,0.4420126121889883,-18.8887575090835,10.704140387429836,11.330726354657187,37.80656150667013,1993.5262215442183,399.4577362766033,98.05094359698433,-0.4750836802262799,0.1964719979388919,0.8577262097012973,,,,,,,,,,,,,,,,,0.9415906489575504,0,,,medium,high,55.97409464399688,54.1996607224803,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,111.20946,0.0,,-1
40,07/25/2025,8:59:44 PM,2,4,Cody DelFavero,,Right,Normal cornbelters,Brady Wilson,,Right,O'fallon hoots 2025,Windup,3,Top,0,1,2,Changeup,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1.0,0.0,,76.69828372354986,0.8154087134937269,-0.5013338138137569,,,,4.967560546686688,-0.2699364281964254,6.000000192000004,,,,1.9152198150414856,0.7358847944296715,68.92612596440729,-7.839220572014826,-0.5013338138137724,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,O'Fallon Hoots 2025,,,,040cdbbe-15cd-404b-a01e-d95a3a6f7e46,edfb4cec-7c9a-4eca-802d-09a5f5bace13,76.90889192520086,4.9596513927966575,-0.269936428196424,0.9075078956884984,-0.5013338138137641,69.07705839290016,1.9222052096380076,-0.7358847944296705,-7.733158345673941,-0.5013338138137637,0.500692873108972,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,106.45101,0.0,0.0,-1
41,07/25/2025,9:00:17 PM,3,1,Cody DelFavero,,Right,Normal cornbelters,Michael Callahan,,Right,O'fallon hoots 2025,Windup,3,Top,1,0,0,Changeup,,StrikeCalled,,,,,,,75.90601932067153,2.424566044151773,-1.355537142810782,1993.6347780788187,305.633601860971,4:15,5.230443097905964,-0.1451821117146414,6.000000192000004,-55.046818583527966,-5.443084517873693,12.158632632933644,2.898561493763673,0.3920254257325409,68.10540164862958,-8.004846915535353,0.9600623709472385,0.5069074892263907,,,,,,,,,,,,-7.064540163080268,-3.805969938103584,0.2486071582168272,50.00000000000005,5.396370330216032,2.2745545126303,-110.17517877202154,3.160886069058613,-8.460401512341116,24.259419783800745,-36.73202973430969,Normal Cornbelters,O'Fallon Hoots 2025,,,,040cdbbe-15cd-404b-a01e-d95a3a6f7e46,4c876477-8ad7-4d3e-a415-5e0d8063766a,76.07436085825236,5.217371843057971,-0.1445544997745935,2.5798206445430445,-1.3627134178712694,68.20638937834602,2.909295124048269,-0.3927555841902748,-7.8433265429920604,0.948657953631168,0.506746401627713,12.222419453001612,-8.788900037774775,50.68854497301545,25.46802662940336,1263.038537756648,1542.5022789308705,63.35355661149655,0.3690976457236735,0.7737135687496958,-0.5149118773672361,,,,,,,,,,,,,,,,,0.8839741917617466,0,,,medium,high,67.07877603353697,-29.40803809441105,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,111.74841,0.0,,-2
42,07/25/2025,9:00:32 PM,3,2,Cody DelFavero,,Right,Normal cornbelters,Michael Callahan,,Right,O'fallon hoots 2025,Windup,3,Top,1,0,1,Fastball,,BallCalled,,,,,,,86.38204359709208,2.1522902820733645,-0.2540524749292179,,,,4.419371333664538,0.4988365692691649,6.000000192000004,,,,3.4128898178371325,-0.2627202588599457,77.12870861010693,-4.706512935837903,-0.254052474929214,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,O'Fallon Hoots 2025,,,,040cdbbe-15cd-404b-a01e-d95a3a6f7e46,ccdd2b4e-b62a-4e56-96c2-bdf644cac582,86.62406522440344,4.413278313609879,0.4988365692691648,2.223913935674588,-0.2540524749292163,77.31468893598242,3.4183777135942943,0.2627202588599454,-4.621216756076341,-0.2540524749292167,0.4447846171680557,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,108.71113,0.0,,-2
43,07/25/2025,9:00:51 PM,3,3,Cody DelFavero,,Right,Normal cornbelters,Michael Callahan,,Right,O'fallon hoots 2025,Windup,3,Top,1,1,1,Changeup,,InPlay,,LineDrive,Out,1.0,0.0,,77.25662839127536,0.6287917722542287,2.7503771139921227,1355.8668024882352,99.63064217247498,9:15,5.234033369608779,-1.407375185191568,6.000000192000004,-42.01829268866992,5.745856672378274,-17.683412265384717,2.317601344010983,0.3228446421606171,69.3883783676599,-7.321811145728983,-0.6108745179940074,0.4974192018454977,104.01200180888856,16.380847304186645,-22.49456404489849,1631.2723556027497,-46.74997739572655,99.57127900237812,27.095830965745563,305.00047206549897,,-31.15647383450303,3.015567636124193,10.520389107156635,2.8925945198563445,1.1933923139638156,50.00000000000004,5.261028070644493,-4.894412817056706,-112.15320545679812,0.0598288563012065,13.093550793369811,24.603650484098765,-28.573960950058037,Normal Cornbelters,O'Fallon Hoots 2025,,,,040cdbbe-15cd-404b-a01e-d95a3a6f7e46,d9a3aeda-6fab-46e4-b5c3-7f4fa2846e57,77.45269013801722,5.2280663726205,-1.415912720040086,0.6993079877928738,2.853147932465038,69.52867819845098,2.323169882683337,-0.3161323940716686,-7.237633103081425,-0.5091062202518992,0.4972340118147578,-18.64933483073766,3.362747798168113,9.379773194448758,13.0650589349892,1337.7385351280825,220.97601164615784,98.66297579327966,-0.1650592516718499,0.1629776695178546,0.9727248956802008,-38.17922418908631,92.19754088368218,29.33354420477475,0.3292893647238268,1.411760138383255,2.316864604459932,-157.80024790177578,261.0064553269044,-57.66652870621851,16.95467385484365,0.5759278296197996,0.5953834445938957,-0.1425721352977967,0.7906906728551528,,,0.9418962013274108,0,0.908533954632431,63.3856957598782,medium,high,101.75855304149027,29.586756550232035,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,117.67594,0.6666666666666666,0.77565,-1
44,07/25/2025,9:01:23 PM,4,1,Cody DelFavero,,Right,Normal cornbelters,Will Geary,,Left,O'fallon hoots 2025,Windup,3,Top,2,0,0,Changeup,,StrikeCalled,,,,,,,74.17575943936494,1.884278501857909,1.089603729775568,,,,5.724069163855283,-1.2111835851416954,6.000000192000004,,,,3.396886941487966,0.1983906757262772,66.56123842451679,-7.391083529710944,1.0896037297755576,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,O'Fallon Hoots 2025,,,,040cdbbe-15cd-404b-a01e-d95a3a6f7e46,77f9e6f9-0238-4e80-ae21-40b5b22de5a2,74.38165940184473,5.715772631502935,-1.211183585141696,1.9817592805058255,1.089603729775563,66.70862121504945,3.4043815020114176,-0.1983906757262772,-7.276474067200635,1.0896037297755632,0.5180189120177899,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,106.76783,0.0,,-2
45,07/25/2025,9:01:39 PM,4,2,Cody DelFavero,,Right,Normal cornbelters,Will Geary,,Left,O'fallon hoots 2025,Windup,3,Top,2,0,1,Fastball,,BallCalled,,,,,,,86.87206710457585,-1.3921586481572057,3.0204394988025403,2017.220675321318,127.24316163551092,10:15,5.666876509436952,-0.8194686192082429,6.000000192000004,-23.05679073586038,14.673775937770774,-16.141514824380728,2.4495587707675823,-0.6451857537874612,77.91594253104998,-5.755084243209885,-0.0431985627622932,0.442097629635303,,,,,,,,,,,,9.75294994714053,8.40848210890399,0.5825593815527771,49.99999999999999,5.539946705753613,-6.145017759687458,-126.07268836035664,-3.792741920867397,15.37529790304215,30.5297352209803,-18.9182738425078,Normal Cornbelters,O'Fallon Hoots 2025,,,,040cdbbe-15cd-404b-a01e-d95a3a6f7e46,62f05555-cc05-434c-9fd7-f067515a29f7,87.1079679767847,5.666908409757667,-0.8274860917311847,-1.3935871086326657,3.115063633525758,78.10116838950044,2.450255823987978,0.6512568906211152,-5.743504276716343,0.0496923284346758,0.4419190062998401,-17.03079973378608,13.397458979475651,11.563665489878424,39.42707035313467,1976.2762742128,404.36535574572656,97.97025671958292,-0.5929149937043087,0.2004566781873362,0.7799159765069044,,,,,,,,,,,,,,,,,0.968357010371118,0,,,medium,high,54.51563668217876,52.83913494773813,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,111.51485,0.0,,-2
46,07/25/2025,9:01:53 PM,4,3,Cody DelFavero,,Right,Normal cornbelters,Will Geary,,Left,O'fallon hoots 2025,Windup,3,Top,2,1,1,Changeup,,InPlay,,LineDrive,Single,0.0,0.0,,76.76074636761514,1.2276143815148144,1.856967425649036,,,,5.531025669459408,-1.0674514032965934,6.000000192000004,,,,2.863475083367635,-0.6590069193231933,68.90462079813697,-7.427927047995742,1.8569674256490052,,71.36139775585093,14.174843325344025,-20.872414188813213,2574.8310964671623,-47.1496496850309,99.38264700961066,12.850515539391376,163.9883042892365,,-27.426348024104243,1.9386514287392915,,,,,,,,,,,,Normal Cornbelters,O'Fallon Hoots 2025,,,,040cdbbe-15cd-404b-a01e-d95a3a6f7e46,5b3457cf-f1fd-493a-8f8b-fbfcc66747e6,76.9725133810261,5.523210301065272,-1.067451403296593,1.3191577106501502,1.8569674256490212,69.05808620477538,2.870549499114949,0.6590069193231962,-7.321129513191955,1.8569674256490225,0.5006008989097901,,,,,,,,,,,-24.65109933960832,64.64822681062108,17.475101180251375,-0.7903289833993832,1.3828631838608412,2.914745112153434,-75.53432595923772,145.55661972422573,-24.435034030794014,12.609755778399771,0.3115068928949529,0.5375130042549288,-0.0837253341876043,0.8390886953546774,,,,0,0.962787145584155,38.200134867586826,low,high,,,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.891,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,107.34824,0.4166666666666667,0.4455,-1
47,07/25/2025,9:02:38 PM,5,1,Cody DelFavero,,Right,Normal cornbelters,Daniel Gierer,,Right,O'fallon hoots 2025,Windup,3,Top,2,0,0,Changeup,,BallCalled,,,,,,,76.21654574171232,2.7962264575834395,-2.254861587136434,1941.0105139658688,307.338091753478,4:15,5.062819788842139,0.0183931432382429,6.000000192000004,-55.67429960158762,-6.426269163945058,12.266362461939089,3.0261703791432515,1.056146612197146,68.32329497254013,-7.752746595684034,0.0796318953001477,0.5050867266877537,,,,,,,,,,,,-7.435510339525648,-4.464443669457151,0.1582941213491342,50.00000000000001,5.2588248242704845,4.0158910077610805,-110.54356935126576,3.874835602740532,-8.970480656047954,24.299336147180384,-37.56012313686215,Normal Cornbelters,O'Fallon Hoots 2025,,,,040cdbbe-15cd-404b-a01e-d95a3a6f7e46,b78580dc-92ec-46a1-b6d6-8b4ab532d1c8,76.38184371040312,5.049515481774606,0.0193159254533531,2.954896980981192,-2.2656338581542395,68.42096963597666,3.036798196629813,-1.0570612584585122,-7.587753609431048,0.0650077447110036,0.5049341108411984,12.364640638883593,-9.759063418417576,47.976613570070754,22.028629223401268,1299.3781890315342,1441.921682060152,66.94338746144383,0.4060231044351441,0.7428716494245156,-0.532247077160737,,,,,,,,,,,,,,,,,0.9659751362415128,0,,,medium,high,70.17423369893885,-38.58501220076655,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,111.20199,0.0,,-1
48,07/25/2025,9:02:59 PM,5,2,Cody DelFavero,,Right,Normal cornbelters,Daniel Gierer,,Right,O'fallon hoots 2025,Windup,3,Top,2,1,0,Changeup,,InPlay,,Popup,Out,1.0,0.0,,78.09437326753017,2.237615127584528,-0.3775362259528214,,,,4.572420524478458,-0.4784258113095779,6.000000192000004,,,,2.9730426340806613,0.8293106695926559,69.88948298436897,-6.143803779572639,-0.377536225952816,,70.09080746411746,71.01693826582535,-54.400946829062384,,-87.72557815774607,66.3643197570043,71.29606421809662,132.67793369309516,,-53.150399095487366,5.297813049325691,,,,,,,,,,,,Normal Cornbelters,O'Fallon Hoots 2025,,,,040cdbbe-15cd-404b-a01e-d95a3a6f7e46,f3de53a6-06f6-4d51-b068-f6bb26877181,78.31437793429676,4.564885532852293,-0.4784258113095769,2.325878410067358,-0.3775362259528202,70.05014034454236,2.979813259790671,-0.8293106695926562,-6.040363106967543,-0.3775362259528201,0.4920262796425624,,,,,,,,,,,-18.53870681067884,13.271947114387194,66.27890358592683,0.8605676929072473,2.906485350987452,3.135550114601558,-106.1705405878913,79.56915482989803,,,,,,,,,,0,,30.193575359694638,low,high,,,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,108.36561,0.0,0.0,-1
49,07/25/2025,9:05:23 PM,1,1,Cole Murray,,Right,O'fallon hoots 2025,Max Hennemann,,Left,Normal cornbelters,Windup,3,Bottom,0,0,0,Fastball,,StrikeCalled,,,,,,,86.01341597646596,0.9714982814063102,-2.915529507998719,,,,4.369211815200679,2.7379084863060283,6.000000192000004,,,,2.23565704412999,-0.0258926218869498,76.98230344065871,-5.93767357542731,-2.9155295079986834,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,O'Fallon Hoots 2025,,,,040cdbbe-15cd-404b-a01e-d95a3a6f7e46,ecf69962-00df-4edb-b585-b718b39c63eb,86.2525014264549,4.36291674706495,2.737908486306022,1.044662862538327,-2.915529507998696,77.16297464735109,2.241243944214132,0.0258926218869476,-5.852297992743841,-2.9155295079986976,0.4470522444769986,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.667001749344,William Zareh,,O'fallon hoots 2025,2022-11,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,109.019806,0.0,,-2
50,07/25/2025,9:05:46 PM,1,2,Cole Murray,,Right,O'fallon hoots 2025,Max Hennemann,,Left,Normal cornbelters,Windup,3,Bottom,0,0,1,Fastball,,Foul,,,,,,,87.73284540753743,-1.832001653403901,-4.805957739327679,1938.064180102181,230.01272368841947,1:45,5.201688168403249,3.5668415653778807,6.000000192000004,-21.775798908478144,15.329849882725036,15.862337044633206,1.6777975098250253,-0.4115713098509797,78.70917464724725,-5.947590203820894,-1.8060830809239048,0.4384211907220238,80.4893744842101,41.10056745762124,-53.640912997842015,,-87.98761445746443,66.01651082929911,66.78271431738887,264.2003579389273,,-53.423763026796905,4.187122398366674,-10.17793389384989,8.899785562273822,-3.1836538126930307,49.99999999999998,5.03925593516878,10.178032647754,-127.03940888977688,-4.768348898381321,-16.322955104015502,30.55331710613613,-17.900936625800657,Normal Cornbelters,O'Fallon Hoots 2025,,,,040cdbbe-15cd-404b-a01e-d95a3a6f7e46,604001c7-4c22-40d5-a636-9bc79749e03d,87.96996367195536,5.201685051418522,3.5740276498040555,-1.8328303700746464,-4.891031359904226,78.8985257568164,1.6784738454674462,0.4059361379533923,-5.936269580251004,-1.8912121312233057,0.4382463622685915,16.664111587772606,14.140990145142874,-0.4401821680585159,96.59950645149831,1938.0069854193032,-14.889280074033266,99.99704887570468,-0.6425985137122872,-0.0076825526352013,-0.7661645571023021,-48.845171522852894,35.957957302277215,52.912323048701055,-0.2560763496412238,1.2222566334477163,1.570303918201208,-212.1699775592704,157.43484289558015,,,,,,,,,0.9815147588218076,0,,38.48361652095328,medium,high,3.0604441936516227,39.84358712057666,54.667001749344,William Zareh,,O'fallon hoots 2025,2022-11,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,115.44627,0.0,,-2
51,07/25/2025,9:06:06 PM,1,3,Cole Murray,,Right,O'fallon hoots 2025,Max Hennemann,,Left,Normal cornbelters,Windup,3,Bottom,0,0,2,Fastball,,BallCalled,,,,,,,86.55588095612381,1.6078116631108486,-4.998246009516516,1733.6814823116051,233.78766836391492,1:45,5.030027084649453,4.473526212540988,6.000000192000004,-24.478291506790224,13.73298184472505,15.853813856580729,4.490557121351835,-1.1375194128201724,77.17464196272121,-3.032003884206414,-1.997812234655528,0.4449049908610198,,,,,,,,,,,,-10.27538064012298,6.881569586755354,-4.074538469948364,49.99999999999998,5.147354185828921,10.46299636457796,-125.2947624924045,2.766024634364044,-15.993671568869882,30.23966405796749,-21.462858662412813,Normal Cornbelters,O'Fallon Hoots 2025,,,,040cdbbe-15cd-404b-a01e-d95a3a6f7e46,2db542ea-b68c-4b96-8d0b-e3901139afcf,86.80026176445169,5.029310111127707,4.480749749864632,1.6151919353212705,-5.085155789993157,77.37082140752753,4.491876102671299,1.1317044840449737,-3.0108372180840983,-2.0860868718649197,0.4447213245393113,16.67417726232631,12.340780251190342,-4.0473401432157,94.11958220096676,1729.3578090418978,-122.3644164615348,99.75060740315791,-0.5893059741894514,-0.0705806791558851,-0.8048209965666374,,,,,,,,,,,,,,,,,0.7621983484585011,0,,,medium,high,5.292376019129944,-37.7442831147219,54.667001749344,William Zareh,,O'fallon hoots 2025,2022-11,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,116.21063,0.0,,-1
52,07/25/2025,9:06:22 PM,1,4,Cole Murray,,Right,O'fallon hoots 2025,Max Hennemann,,Left,Normal cornbelters,Windup,3,Bottom,0,1,2,Curveball,,BallCalled,,,,,,,72.72475679693466,4.407518666937495,-2.97765649327868,1938.0826623480605,42.2820686742029,7:30,4.378257160434692,4.577241937243,6.000000192000004,-60.25898045504451,-5.789664415587204,-9.566422862536394,3.46664341751902,-1.0101307119850709,65.00077714100306,-7.006690687644919,-4.79302538274931,0.5311870558050987,,,,,,,,,,,,4.113503297551055,-4.724937480128868,-4.328972543114222,50.00000000000004,4.703776253256716,5.72236048408689,-105.21388073052874,6.549164683027796,4.484192780501901,22.42589033337549,-37.32477610889608,Normal Cornbelters,O'Fallon Hoots 2025,,,,040cdbbe-15cd-404b-a01e-d95a3a6f7e46,c85992ae-68b1-4907-9b63-a9afe48dcee0,72.89501943055315,4.363866031798632,4.578724324582279,4.575372526517829,-2.995551430985497,65.09784325434813,3.478134145395847,1.0093088601687044,-6.83209544179381,-4.805263984604629,0.5310190987298454,-9.3939531759966,-9.527180782872232,-52.25416704931388,38.648718621482445,1186.416229281748,-1532.5080544620394,61.21597661084073,0.4529013129716867,-0.7907341024377917,0.4118494627293111,,,,,,,,,,,,,,,,,0.9283491127411828,0,,,medium,high,55.21615324066581,-21.33395998777622,54.667001749344,William Zareh,,O'fallon hoots 2025,2022-11,0.0,13.517093622539988,19.339681993348975,24.548199995524733,-4.051358769390436,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,101.094086,0.0,,-1
53,07/25/2025,9:06:37 PM,1,5,Cole Murray,,Right,O'fallon hoots 2025,Max Hennemann,,Left,Normal cornbelters,Windup,3,Bottom,0,2,2,Fastball,,Foul,,,,,,,88.05658972121974,0.2118856652432653,-5.580790809667813,1838.8128790718567,232.83374649013624,1:45,4.962949324670998,3.913744548173717,6.000000192000004,-22.72132261554954,14.1951252304898,15.678928702717569,3.2673696350169714,-0.0171049534700413,78.69403641183429,-4.090171020657881,-2.6195721276414816,0.4373020118836824,,,,,,,,,,,,-10.35515109868856,7.605109645701618,-3.466807594039514,49.99999999999999,4.967122249922322,11.9510071567359,-127.40806196895844,-0.2487588054852184,-16.68862423887107,30.94651843690476,-19.91746192610559,Normal Cornbelters,O'Fallon Hoots 2025,,,,040cdbbe-15cd-404b-a01e-d95a3a6f7e46,e889c668-85e0-41d4-a34b-511152777953,88.30094712442313,4.962832911846428,3.9211819055444095,0.2122080665093697,-5.669949350863496,78.88945275496847,3.268168026203442,0.0112413912621579,-4.076790627006806,-2.708977948139972,0.4371266559703216,16.523325571914015,12.966731985826716,-10.7923835921164,92.15574865065452,1806.2882337798835,-344.3190682330551,98.23121505933815,-0.593444105907454,-0.1872507377731934,-0.7827906836230852,,,,,,,,,,,,,,,,,0.9180455948074268,0,,,medium,high,7.059826214411013,-36.349539146879046,54.667001749344,William Zareh,,O'fallon hoots 2025,2022-11,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,114.70309,0.0,,-2
