PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,RunValue,ff_diff,ivb_diff,hb_diff,ang_diff,PitchType_Changeup,PitchType_Curveball,PitchType_Fastball,PitchType_Sinker,PitchType_Slider,PitchType_Cutter,PitchType_Knuckleball,PitchType_Splitter,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Stuff+,xBA,xWOBA,Good Swing Decision
11,7/24/2025,6:36:12 PM,3,5,Will Davidsmeier,,Right,Normal cornbelters,Chase Wiese,,Right,Springfield lucky horseshoes 2025,,1,Top,1,2,2,Fastball,,BallCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,85c2c4d0-e196-4d39-9cb3-1c2dd609f13f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,109.11818,0.0,,-1
12,7/24/2025,6:36:55 PM,3,6,Will Davidsmeier,,Right,Normal cornbelters,Chase Wiese,,Right,Springfield lucky horseshoes 2025,,1,Top,1,3,2,Fastball,,StrikeCalled,Strikeout,,StrikeoutLooking,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,66a97115-f896-4f41-b58c-3a0eeb2387d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.11818,0.0,0.0,-1
13,7/24/2025,6:37:14 PM,4,2,Will Davidsmeier,,Right,Normal cornbelters,Brady Davidson,,Left,Springfield lucky horseshoes 2025,,1,Top,2,0,1,Curveball,,BallCalled,,,,,,,71.47667616,3.681633335,-3.594171866,2539.702725,27.79993836,7:00,5.740315979,3.255376154,6.000000192,-70.00503353,-13.4949014,-10.23487707,3.339719333,0.942319384,64.20462645,-9.539139563,-5.535936914,0.541046614,,,,,,,,,,,,4.225412055,-8.677131404,-2.956352746,50.0,6.001008166,6.757537408,-103.4159966,4.877343064,4.436558826,22.13999596,-41.28478326,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,fe0b4e31-2f5d-41a7-a58c-2dbe219c9623,71.59367257,5.721803256,3.256387785,3.901344232,-3.606617857,64.24232614,3.353948714,-0.942879379,-9.325112191,-5.544289039,0.540936322,-10.11438033,-17.87855866,-35.50136342,23.99362329,2067.576297,-1474.862091,81.41016964,0.720139281,-0.580722333,0.37968538,,,,,,,,,,,,,,,,,0.997013534,0.0,,,medium,high,68.40573904,65.92986745,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,14.803017201333347,32.59279640551724,19.326403033965516,-5.128130115066667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,103.000824,0.0,,-2
14,7/24/2025,6:37:35 PM,4,2,Will Davidsmeier,,Right,Normal cornbelters,Brady Davidson,,Left,Springfield lucky horseshoes 2025,,1,Top,2,0,1,Fastball,,StrikeCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,cc74565e-075c-4101-b6c0-41bc6d35cf91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.11818,0.0,,-1
15,7/24/2025,6:37:47 PM,4,3,Will Davidsmeier,,Right,Normal cornbelters,Brady Davidson,,Left,Springfield lucky horseshoes 2025,,1,Top,2,1,1,Fastball,,BallCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,6d1f0a35-6231-4303-a71a-58b9c27990f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,109.11818,0.0,,-1
16,7/24/2025,6:37:57 PM,4,4,Will Davidsmeier,,Right,Normal cornbelters,Brady Davidson,,Left,Springfield lucky horseshoes 2025,,1,Top,2,2,1,Fastball,,StrikeSwinging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,0235a049-4a0b-49de-8fad-ea1c5cb36519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,109.11818,0.0,,-2
17,7/24/2025,6:38:12 PM,4,5,Will Davidsmeier,,Right,Normal cornbelters,Brady Davidson,,Left,Springfield lucky horseshoes 2025,,1,Top,2,2,2,Fastball,,Foul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,560ebabc-6f68-45e2-9051-d817da889b39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.11818,0.0,,-1
18,7/24/2025,6:38:33 PM,4,6,Will Davidsmeier,,Right,Normal cornbelters,Brady Davidson,,Left,Springfield lucky horseshoes 2025,,1,Top,2,2,2,Curveball,,BallCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,93e86c2e-1482-4de6-b250-6407586d9fdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02,0.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,109.12027,0.0,,-1
19,7/24/2025,6:38:51 PM,4,7,Will Davidsmeier,,Right,Normal cornbelters,Brady Davidson,,Left,Springfield lucky horseshoes 2025,,1,Top,2,3,2,Fastball,,Foul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,853282dd-a48c-4765-b329-a29732e67039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.11818,0.0,,-1
20,7/24/2025,6:39:08 PM,4,8,Will Davidsmeier,,Right,Normal cornbelters,Brady Davidson,,Left,Springfield lucky horseshoes 2025,,1,Top,2,3,2,Fastball,,BallCalled,Walk,,Walk,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,4d82af04-8ad8-44d1-a661-4eb4a68b7012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02,0.695,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,109.11818,,0.695,-1
