PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,TaggedPitchType2,GeneralPitchType,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Good Swing Decision,RunValue,Stuff+,xBA,xWOBA
48,06/21/2025,6:52:53 PM,4,1,Jack Bussard,,Left,Danville dans 2025,Nolan Mccrossin,,Right,Normal cornbelters,,1,Bottom,1,0,0,Curveball,,InPlay,,GroundBall,Error,0.0,1.0,,72.06632483788387,1.485193748045335,0.9794317867476288,1757.6911888304471,322.6290357971544,4:45,5.956847249083911,-1.5829171929999983,6.000000192000004,-60.96923805894547,-5.902576719046628,8.598398781175119,2.256917815547252,-0.0439824577061745,64.98577293166502,-10.026688915193589,2.6173917084150515,0.5340917819683273,90.40485439117585,-6.89943848094232,-39.11216295877358,,70.28866719580701,-84.6138479253041,6.15953476905138,17.54400810680313,,-35.320996654751475,0.1383072090182134,-4.306624917356349,-3.733967110803141,1.498182109224081,50.0,6.042781713619935,-2.012212429250158,-104.65849140644696,1.1328585286648876,-4.6433132158960575,22.25743165208096,-36.19993509170976,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,376ba0db-2931-40ec-b959-ce41d760a1e1,72.22051340779969,5.942680254962824,-1.584928194361031,1.6516581452186487,1.0036594527620168,65.07056881481545,2.268444796979098,0.045225759625074,-9.855632201374531,2.635943511527375,0.533925389183433,8.367165014685018,-9.661128087615309,55.86374958760352,62.91744581735259,986.350873551542,1454.850600417892,56.11627797985672,0.4459685854320179,0.8277054636576617,-0.3406107547318788,-56.61805750307659,69.63829448148049,-10.860073838543858,0.4250370349951106,0.4639269458417953,2.247568390302606,-10.14318526995376,14.31460837853998,,,,,,,,,0.906302385162238,0.0,,52.47843258576077,medium,high,33.374298764382665,-19.57991442197332,54.667001749344,Asa Martinez,,Danville dans 2025,2022-11,Curveball,Breaking,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,-1,0.0,99.98430633544922,0.4166666666666667,0.40095000000000003
49,06/21/2025,6:53:43 PM,5,1,Jack Bussard,,Left,Danville dans 2025,Caleb Royer,,Left,Normal cornbelters,,1,Bottom,1,0,0,Fastball,,StrikeCalled,,,,,,,84.05987653949535,-3.342121511918112,-0.6242843842934365,1912.700912580134,161.7346297067864,11:30,6.438601810165876,0.9107156442980718,6.000000192000004,-20.81910249702236,19.4595667656476,-4.778613401669519,1.5938176284213277,0.0677310783242722,75.69014515155173,-7.258123343436107,-1.53143574082364,0.4567821026605191,,,,,,,,,,,,2.374609901777544,11.648339834297044,-0.8570939890503726,50.000000000000014,6.153982382901986,1.47459896885417,-121.98788511555315,-7.757600553637111,3.5072826247368405,28.43256753876844,-14.969531118660058,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,cfb45221-c08f-4736-a3b4-8b581cd149ee,84.30359191835652,6.440004352158094,0.907462521077902,-3.3603529247025588,-0.5850294528363449,75.8923679129701,1.593540227586681,-0.0651655479618424,-7.261162644120326,-1.4926426622405644,0.4565789227969919,-5.146637738475888,18.260928729446675,28.749000590473912,32.57874781310296,1676.9321086689886,919.9584142230872,87.67351432937282,-0.8325609150011903,0.4809734800524099,0.2747850692789816,,,,,,,,,,,,,,,,,0.9961818472190188,0.0,,,medium,high,60.67912696820734,57.01219816566957,54.667001749344,Asa Martinez,,Danville dans 2025,2022-11,Other,Other,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,-2,0.0,97.13787841796875,0.0,
50,06/21/2025,6:53:57 PM,5,2,Jack Bussard,,Left,Danville dans 2025,Caleb Royer,,Left,Normal cornbelters,,1,Bottom,1,0,1,Curveball,,StrikeSwinging,,,,,,,71.06632076253203,1.585062282515577,-0.1773475608337441,1744.8024776818688,327.5898356762947,5:00,5.732904722678443,-0.5273912936393255,6.000000192000004,-62.88423285542415,-6.29569404103529,7.456901757918878,1.966081563616885,0.0708090097284788,64.12454018007429,-10.288517449902953,1.244066512055318,0.5414218300360851,,,,,,,,,,,,-4.104023063035362,-3.979882310323768,0.537543896829808,50.00000000000001,5.825844090522269,0.1286992319004426,-103.21982458167751,1.247268869124163,-4.306450940273923,21.56348970055327,-36.35023662350585,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,912cc293-a02a-4822-9d1b-332ada3a1a6e,71.215591946716,5.718618822876903,-0.5301777722938549,1.755192454312681,-0.1434902970746802,64.20438284730261,1.9779027416650083,-0.0689529175002569,-10.113018766267436,1.2720056389178085,0.5412573429477587,7.135008932843779,-10.120641109911446,57.89802865714547,66.22182027710328,927.2363990291484,1478.028533703002,53.1427717973594,0.4486487401305225,0.8471036421651001,-0.2848328060633405,,,,,,,,,,,,,,,,,0.9970415694286764,0.0,,,medium,high,30.400361750607065,-8.585913694203562,54.667001749344,Asa Martinez,,Danville dans 2025,2022-11,Curveball,Breaking,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,-1,0.0,96.5050277709961,0.0,
51,06/21/2025,6:54:13 PM,5,3,Jack Bussard,,Left,Danville dans 2025,Caleb Royer,,Left,Normal cornbelters,,1,Bottom,1,0,2,Fastball,,StrikeCalled,Strikeout,,StrikeoutLooking,1.0,0.0,,84.31494054617032,-2.281630527346226,0.3708125028605225,1805.880354398605,160.06170677235633,11:15,6.530430761317078,-1.1387151450205786,6.000000192000004,-21.802838199816048,18.18666529959316,-4.960017140210827,2.5918284564197185,1.207414321649038,75.77182000790125,-6.398082461089613,-0.5714994976387425,0.4551395004130773,,,,,,,,,,,,2.808518281779782,10.61031742487017,1.1113823185663103,49.99999999999997,6.331855059639628,-0.6412058324034177,-122.46709390582808,-5.545073399800907,4.177305634828567,28.841595979785943,-16.39258252068956,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,bd21e70f-950b-42d7-93b8-2a69b0e08faa,84.56329615920366,6.531421447469185,-1.1422496707499303,-2.294836598049326,0.4129212234056122,75.97583575455796,2.591899870596017,-1.2046871447848786,-6.395845733928983,-0.5301859851987246,0.4549332906041045,-5.354525620386772,16.913945091686422,33.00490577548388,43.66398342569802,1514.4544781342336,983.6826155127465,83.86239290136017,-0.7883571686042414,0.5447108459410274,0.2859773925059705,,,,,,,,,,,,,,,,,0.9949702503816868,0.0,,,medium,high,50.70241491687177,58.624223708519885,54.667001749344,Asa Martinez,,Danville dans 2025,2022-11,Other,Other,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,98.001953125,0.0,0.0
52,06/21/2025,6:54:42 PM,6,1,Jack Bussard,,Left,Danville dans 2025,Jack Novak,,Right,Normal cornbelters,,1,Bottom,2,0,0,Fastball,,StrikeCalled,,,,,,,84.06083264921534,-1.9428261823552653,0.125787433738964,1853.539412564044,160.76973135285863,11:15,6.564104451528866,-0.9778974151105964,6.000000192000004,-20.405361901261863,19.81229555204705,-5.573326009843928,3.057310459343001,1.3254350398849537,75.47329680335821,-5.799926982509493,-0.9330608537003054,0.456436017937438,,,,,,,,,,,,3.0575029467664527,11.376001537594007,0.970878144129188,49.99999999999998,6.393977580946177,-0.098488376961709,-122.125739392863,-4.763773947017046,4.5216845907472,28.711909354272453,-15.350291194775648,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,9840e6db-1d5a-42a7-911b-308e9a6003ec,84.3087036458082,6.56577509790047,-0.9813110842018836,-1.964295929562343,0.1668590634711887,75.6795808748883,3.056830895333832,-1.3227351847756754,-5.805981640343049,-0.892072744135711,0.4562294296652879,-5.958027261110987,18.60251959784415,24.46704647133126,84.83083731684984,1687.0908848879951,767.6800766309508,91.01996285874512,-0.859412766911764,0.4141698155579013,0.2997883585961936,,,,,,,,,,,,,,,,,0.9969118249095726,0.0,,,medium,high,13.652246414835105,-25.527658613470365,54.667001749344,Asa Martinez,,Danville dans 2025,2022-11,Other,Other,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,100.91796112060547,0.0,
53,06/21/2025,6:54:53 PM,6,2,Jack Bussard,,Left,Danville dans 2025,Jack Novak,,Right,Normal cornbelters,,1,Bottom,2,0,1,Fastball,,BallCalled,,,,,,,83.55478704707936,-2.6309702672933017,0.9982776767179644,1847.7541755504328,158.571561533189,11:15,6.316710671687971,-1.7541249581170784,6.000000192000004,-20.543141560022807,20.17764875036369,-6.418995779464906,2.157483471240564,1.3611544484128335,75.13382051164075,-6.506286498391539,-0.2206133898699378,0.4592822077942221,,,,,,,,,,,,3.806840680386409,11.796864588707384,1.676521882308338,50.00000000000004,6.09031940056432,-1.9198073200889565,-121.32247366280262,-6.197410502212129,5.561670442599687,28.116775002020567,-14.939214034199322,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,e01f2f85-b0e0-49b8-b7cf-86dad058544c,83.7975570787491,6.318366525193877,-1.7577399310777997,-2.65227815182199,1.0419645821225751,75.33638761037172,2.157006972791048,-1.358309368353603,-6.512356068535351,-0.1767470379041222,0.4590801559853761,-6.828857631685588,18.992508836323825,21.28357886293928,93.61543784089528,1721.7286507359531,670.7055587208249,93.1795296970747,-0.8673845710505672,0.3629841932415206,0.3404210354255827,,,,,,,,,,,,,,,,,0.980429547946268,0.0,,,medium,high,5.746105943194181,59.84346706334094,54.667001749344,Asa Martinez,,Danville dans 2025,2022-11,Other,Other,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,106.73860931396484,0.0,
54,06/21/2025,6:55:07 PM,6,3,Jack Bussard,,Left,Danville dans 2025,Jack Novak,,Right,Normal cornbelters,,1,Bottom,2,1,1,Slider,,Foul,,,,,,,74.8108802119512,1.0225951889779137,-2.6231444963551125,1792.718757169896,232.8317517628288,1:45,6.2375464188880665,0.6855257665295421,6.000000192000004,-45.53758543092979,5.429940124586125,5.562668487088858,3.394238871816932,1.2905571662420194,67.21325297701206,-7.592710575707962,-1.5662205682180368,0.5138286277123452,,,,,,,,,,,,-3.9218645286386735,2.5840920664351748,-0.4749225028440396,49.99999999999998,6.294633566885468,4.825167262650694,-108.59849978043562,0.7107145600844683,-4.573594003306322,23.18200111417984,-29.1605370353404,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,f96f2b8c-ba70-4f0d-8ba6-c0e90bac8bc0,75.02231497139421,6.229963280894203,0.6829690549289867,1.11148139153479,-2.5922682029297124,67.36839918269888,3.401316132620269,-1.2888454679096628,-7.486367214169426,-1.5406959960375934,0.5136062442172087,5.268820335415961,2.696225041483142,74.89356308438263,71.4231928635989,467.20574547998143,1730.7684228975495,26.061296207863816,-0.1574513034777427,0.9654433613612962,-0.2076733084355364,,,,,,,,,,,,,,,,,0.997273852647708,0.0,,,medium,high,25.719126422761025,1.7009895722479995,54.667001749344,Asa Martinez,,Danville dans 2025,2022-11,Slider,Breaking,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,110.10365295410156,0.0,
55,06/21/2025,6:55:22 PM,6,4,Jack Bussard,,Left,Danville dans 2025,Jack Novak,,Right,Normal cornbelters,,1,Bottom,2,1,2,Fastball,,Foul,,,,,,,84.20347215815741,-2.6307905666462874,0.310999291182714,1868.7877278991864,162.91009152340987,11:30,6.316797849690838,-0.8688402439182261,6.000000192000004,-20.08153902986911,20.010886460503936,-4.768045905805162,2.196540302017425,0.9771338104808236,75.7027563415237,-6.41930848366569,-0.5945437777903659,0.4557248260281707,,,,,,,,,,,,2.6834234533727104,11.708696555098753,0.8462699889427118,49.999999999999936,6.090720160178401,-0.5183417379571482,-122.27938966927272,-6.230955875489909,3.981632161217616,28.608951508140148,-14.80082333983142,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,639ed326-5166-4aab-8f55-b841e093aebb,84.45180585633906,6.318519698644707,-0.8719606456829992,-2.652643855750679,0.3481166708246938,75.90667854355522,2.196031544435985,-0.9747363337827712,-6.425779687078039,-0.5581492913460016,0.4555190526795706,-5.115804950722688,18.83987775974051,25.40429936990522,61.50421111820342,1688.0817518026251,801.7153928780364,90.33031021133132,-0.8634175633916357,0.4290029204008587,0.2654554680438607,,,,,,,,,,,,,,,,,0.9963712458233532,0.0,,,medium,high,34.6462099936169,-57.296986837612906,54.667001749344,Asa Martinez,,Danville dans 2025,2022-11,Other,Other,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-2,0.0,100.2294692993164,0.0,
56,06/21/2025,6:55:40 PM,6,5,Jack Bussard,,Left,Danville dans 2025,Jack Novak,,Right,Normal cornbelters,,1,Bottom,2,1,2,Slider,,StrikeCalled,Strikeout,,StrikeoutLooking,1.0,0.0,,74.41685815500993,0.2474569826459803,-1.8624727986583955,1778.003317159389,267.01194388653494,3:00,6.314560313978538,0.6282209228208224,6.000000192000004,-48.67314421431488,2.801899542260664,7.7774914798864945,2.488572702968342,0.4552351301133489,67.06113130478961,-8.943116896316846,-0.3827870757832061,0.5163805605938581,,,,,,,,,,,,-4.86144391158861,1.430524179521001,-0.4809502873643667,50.00000000000002,6.3066301291824685,3.306021976535286,-108.09333364575777,-0.8404199874383167,-5.612366199172472,23.09845849518732,-30.522559679245315,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,93eea035-a35b-4b74-b979-3d30a0c7959e,74.61287852472303,6.305304390577958,0.6263956910437088,0.3557113789811729,-1.840456725345708,67.19789622808896,2.496675118572381,-0.4541427474962223,-8.821141546608585,-0.3664334178278001,0.5161727291863567,7.566707097442419,-0.1503803591683749,72.7868471103459,55.50001481230296,526.1597677288214,1698.3673615132109,29.59273262602433,-0.0154260347513895,0.9552104572147772,-0.2955249902789701,,,,,,,,,,,,,,,,,0.9954453827024003,0.0,,,medium,high,40.04998666892736,-47.91482177767781,54.667001749344,Asa Martinez,,Danville dans 2025,2022-11,Slider,Breaking,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-2,0.0,109.17406463623047,0.0,0.0
57,06/21/2025,6:57:51 PM,1,1,Luka Zachman,,Right,Normal cornbelters,Paul Wittmann,,Left,Danville dans 2025,,2,Top,0,0,0,Curveball,,BallCalled,,,,,,,77.26374882772566,1.4095766001814365,-3.043913689740529,2214.287998911149,16.678700011092275,6:30,5.401351851367657,3.209328426358203,6.000000192000004,-63.68918970177604,-15.51294488880056,-6.689217423494934,1.4060863452074863,0.1797650448800471,69.60685127438528,-10.601777920748615,-4.316465137156924,0.4995603888479933,,,,,,,,,,,,2.498736829984787,-8.937068047372895,-2.957315978581304,49.99999999999997,5.479808474775774,6.143174920355936,-112.04206504495262,0.997690887787002,3.076786464135566,26.149670743894177,-43.178589826991605,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,e4557146-aa42-438d-be97-a8768ee4c681,77.38447051738699,5.384423585510786,3.2105412651241485,1.6122757993121368,-3.0587787978674723,69.65408210960476,1.4195246203859069,-0.1805276059394017,-10.40350484175779,-4.327780387037562,0.4994503416594877,-6.546664683311288,-19.43194399254072,-30.307967038946693,80.41696838278801,1911.6510386471823,-1117.4352994966146,86.33253847680227,0.8270046438175852,-0.5046476790941832,0.2477782054358359,,,,,,,,,,,,,,,,,0.9974458246402796,0.0,,,medium,high,17.624728455490775,42.79286608592301,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,Curveball,Breaking,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,127.99978637695312,0.0,
58,06/21/2025,6:58:03 PM,1,2,Luka Zachman,,Right,Normal cornbelters,Paul Wittmann,,Left,Danville dans 2025,,2,Top,0,1,0,Fastball,,InPlay,,LineDrive,Double,0.0,0.0,,83.01205282448039,1.250883205697581,-2.25477970352554,,,,4.751842111364154,1.413582227401732,6.000000192000004,,,,2.656542224793692,0.6830782316953231,74.32233169344696,-6.16414308987583,-2.254779703525528,,85.49032414830023,18.136077168070592,-9.35055919626599,1578.8072586121364,-23.42872347701118,107.47602019063406,25.72409659798326,242.0931269452249,,-16.99807255508825,2.725951121569988,,,,,,,,,,,,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,c7ddcf3d-731c-4272-b648-9c4a7b1d7257,83.24189629008715,4.745218483747355,1.4135822274017311,1.3289207059080803,-2.254779703525537,74.49578967767823,2.662614722835915,-0.6830782316953244,-6.072147854236617,-2.254779703525537,0.4630134058106236,,,,,,,,,,,-13.199948287736856,80.16365823799948,26.610989949337373,0.7865632435066864,0.5701992469207947,2.4528998201804475,-70.77339196825866,231.51718964997823,-37.13741207891473,21.44519513415949,0.4284827326449281,0.4862326051025727,0.0496907336004622,0.8724154312765298,,,,0.0,0.995864087666494,48.32981022922748,low,high,,,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,Other,Other,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,-1,1.269,,0.5,0.45765
59,06/21/2025,6:58:47 PM,2,1,Luka Zachman,,Right,Normal cornbelters,Joshua Martin,,Left,Danville dans 2025,,2,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,84.31065548681025,-1.712647337095864,-4.754453732951944,2259.80017022387,195.4071593747273,12:30,5.690573375310387,3.1242360055391982,6.000000192000004,-22.93997515530183,17.308894896062824,2.712071023620408,2.18121327811328,1.0786875666967617,75.67065121189623,-6.038742669317944,-4.242311520673167,0.4566131017332298,,,,,,,,,,,,-3.083093559877868,9.946360064828472,-2.7376428340346,50.00000000000001,5.5372668309283695,10.07131490084704,-122.08243488998974,-4.360793756232838,-4.555897105929799,28.71076744140512,-17.476281855693806,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,afa9e825-4e7f-46cc-88df-8bd7c0229e2d,84.56303017449615,5.691261620980943,3.1274858245044825,-1.722260845154461,-4.79315419053268,75.87843296429978,2.1815506835939265,-1.0811799324771936,-6.032158508787504,-4.279591197097472,0.4564060991549274,3.0777905218330406,15.99591744791948,-50.63351103531666,98.25043856281168,1433.3425351637848,-1747.0621014245846,63.427844375363016,-0.6114838809253397,-0.7731046861774109,-0.1685129300054211,,,,,,,,,,,,,,,,,0.996996390489416,0.0,,,medium,high,1.5746052934699069,11.985450726353864,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,Other,Other,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,86.56927490234375,0.0,
60,06/21/2025,6:59:04 PM,2,2,Luka Zachman,,Right,Normal cornbelters,Joshua Martin,,Left,Danville dans 2025,,2,Top,0,0,1,Curveball,,Foul,,,,,,,77.61865323891935,1.4643485401959848,-3.2207026591993104,2208.554904779183,17.859669473748855,6:30,5.288707936009391,3.107452076440299,6.000000192000004,-62.3347336896528,-14.59349574109762,-6.894671358630184,1.4575526623618864,0.4635612832896748,69.8858432243921,-10.29427524701276,-4.531528699845706,0.4972998870071975,,,,,,,,,,,,2.5472491147227228,-8.456786023277793,-2.840877273208101,50.000000000000014,5.372422850062489,6.524379090903705,-112.53745203697184,1.147604407858351,3.16535049222866,26.32159063407478,-42.68291251846143,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,9033c827-2936-4057-b4c6-1571e3f76230,77.74659270139342,5.272286616944755,3.1088444563486384,1.6611836524840606,-3.237758806598064,69.94115498900446,1.4706659504807007,-0.4644444029677529,-10.10024586770576,-4.544653509472531,0.4971841596078916,-6.731149325354708,-18.43294562627049,-33.57513339481144,83.00268186712717,1840.082549742555,-1221.3971416198428,83.31613335764145,0.7930117193091258,-0.5530300102464337,0.2555195115939558,,,,,,,,,,,,,,,,,0.9974837640942116,0.0,,,medium,high,15.297586319585536,31.18455902598112,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,Curveball,Breaking,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,127.98912811279297,0.0,
61,06/21/2025,6:59:26 PM,2,3,Luka Zachman,,Right,Normal cornbelters,Joshua Martin,,Left,Danville dans 2025,,2,Top,0,0,2,Fastball,,BallCalled,,,,,,,85.50156445524274,3.66376426765293,-3.8140980273276273,,,,4.511532149808658,2.9523940966977857,6.000000192000004,,,,4.836753725315402,0.597649888614331,76.09832651291758,-3.3755883674160927,-3.814098027327595,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,fcbd8a37-8d1c-4f7e-8c5f-3ce46e13175b,85.74940635061786,4.505202665158603,2.952394096697782,3.737409799433852,-3.8140980273276113,76.28743851982044,4.842538218194766,-0.5976498886143339,-3.2875067780386966,-3.81409802732761,0.451003126926488,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,low,high,,,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,Other,Other,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,,0.0,
62,06/21/2025,6:59:45 PM,2,4,Luka Zachman,,Right,Normal cornbelters,Joshua Martin,,Left,Danville dans 2025,,2,Top,0,1,2,Changeup,,BallCalled,,,,,,,79.07327861775883,-2.190860179092231,-5.301513529815888,1575.0921411379754,224.3001497911746,1:30,5.698628579841282,2.7375602023814367,6.000000192000004,-29.0139907434762,16.713485800084687,13.739295416898742,1.2348794425301923,1.0588014512887252,71.23273904249825,-7.650912878720239,-2.7083216702926887,0.4866986484882082,,,,,,,,,,,,-9.179024416497224,9.759795197292467,-2.312466393393434,49.99999999999996,5.502477346386382,10.22248349012383,-114.3950688008896,-5.224371854496503,-11.948208534959017,24.58332465156884,-19.46985979583471,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,1610b10a-c67e-4e0f-940f-75286bf6dc32,79.29826964920301,5.697514306635919,2.743792695282697,-2.178891886708522,-5.374967843863269,71.40911164621924,1.236606543936443,-1.0636050202725804,-7.623451579348905,-2.7812378470555643,0.4864946175780269,14.433231114601798,15.157727098516965,-3.446566429115275,27.62710337174737,1572.2432683479085,-94.69085599623416,99.81912976925852,-0.7143964360035228,-0.0601176613882548,-0.6971539277768374,,,,,,,,,,,,,,,,,0.9957017217649629,0.0,,,medium,high,65.13560696542734,-67.8433281574811,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,Changeup,Offspeed,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,94.33587646484375,0.0,
63,06/21/2025,7:00:03 PM,2,5,Luka Zachman,,Right,Normal cornbelters,Joshua Martin,,Left,Danville dans 2025,,2,Top,0,2,2,Curveball,,StrikeCalled,Strikeout,,StrikeoutLooking,1.0,0.0,,77.32145001093113,2.938535897965752,-1.36975604238425,2290.2990024269407,18.05896449794976,6:30,5.278846799761382,1.4309886401631604,6.000000192000004,-64.2042304357982,-16.220003333447252,-6.921735610387199,2.6627290652953226,0.4191078743518839,69.42051222360614,-9.216923768545207,-2.6886329188925338,0.4985638373748424,,,,,,,,,,,,3.254328324482158,-9.86012451638628,-1.3154144176279683,50.00000000000004,5.481564054366767,2.874039810632147,-112.15743327507572,3.976047484605581,4.025698170664257,25.73743547390341,-44.37130851944037,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,97faa58d-eb34-4c58-b657-c718f75d4c46,77.44450878145973,5.260978906612875,1.4317862462921835,3.1490193555158363,-1.379509031221133,69.46635449832762,2.6762908270614325,-0.4195489823020817,-9.014606467671902,-2.695146686229594,0.4984588898906887,-6.8277651558892165,-20.100605110344983,-28.65981974300588,66.94539903027352,2009.697788898328,-1098.446319951508,87.74827159112105,0.8342561586045677,-0.4796082602260784,0.2720157689422887,,,,,,,,,,,,,,,,,0.9964512570424148,0.0,,,medium,high,29.74914087275376,59.46000923983189,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,Curveball,Breaking,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-2,0.0,124.03568267822266,0.0,0.0
