PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,RunValue,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Stuff+,xBA,xWOBA,Good Swing Decision,ff_diff,ivb_diff,hb_diff
1,07/01/2025,6:33:39 PM,1,1,Nicholas Currie,,Right,Normal cornbelters,Nick Venteicher,,Right,Clinton lumberkings 2025,,1,Top,0,0,0,Fastball,,InPlay,,FlyBall,Out,1.0,0.0,,86.22938718654265,-1.3532440747559231,-5.478978943296907,2041.71049986326,229.74349395441217,1:45,5.591446198721994,3.665846116159994,6.000000192000004,-22.62301635255521,15.839379568895405,15.550332606372235,2.4424908537882146,0.1459995630526924,77.3159882600958,-5.628937933070922,-2.543214725100994,0.4463645433925275,86.58371064090896,40.52831058087609,-1.919547244146541,,-3.146278059498963,109.95499504049155,70.64104621117714,292.28740780757715,,-1.8139763319730888,4.404724256695175,-10.228591450542227,9.01378146085493,-3.2272146916334723,49.99999999999997,5.467566876991087,11.482584441170976,-124.76233150234134,-3.665594547570068,-15.826874280343652,29.38859318171169,-18.22687155457313,Normal Cornbelters,Clinton LumberKings 2025,,,,91703472-b632-4519-a074-9907bc36731b,9fc7a5aa-4dfb-45b4-9040-04695e4adf90,86.46723115052359,5.591903673355683,3.673598666240136,-1.3595942063860564,-5.570198093700034,77.50444184563413,2.442869928096773,-0.1518044355964241,-5.621686456215758,-2.633152986221541,0.4461872430881234,16.41450315052149,14.67058304795152,-14.033763112162545,41.11663714387937,1980.771562822159,-495.1017886929363,97.01529981624807,-0.6269231917682925,-0.2424936291046624,-0.7403810852977722,-2.2044145418217567,65.77404722743303,56.26414680949021,0.2882882095469808,2.2324241166102685,2.7833714085538714,-9.252232440083649,292.1409333827555,,,,,,,,,0.9932571742317648,0.0,,46.86109397958432,medium,high,52.99502657050858,60.187948638156975,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,104.97758111187161,0.16666666666666666,0.0,-1,0.0,0.0,0.0
2,07/01/2025,6:34:11 PM,2,1,Nicholas Currie,,Right,Normal cornbelters,Colin Coonradt,,Left,Clinton lumberkings 2025,,1,Top,1,0,0,Changeup,,BallCalled,,,,,,,80.03869965479511,1.2610438705544635,-5.6092558826728585,1621.1132576551004,238.2290331751016,2:00,5.1294849644776885,4.629907093931747,6.000000192000004,-31.788209811007107,12.926329171537589,16.501198241831077,3.658302742678876,-0.7750808196257017,71.55508818235646,-4.753621549776744,-2.4921963778880807,0.4812778795714517,,,,,,,,,,,,-10.81225728663706,6.565288543452319,-4.181104644501273,50.00000000000006,5.214292682046872,10.894004094865137,-115.77300045012522,1.6427859977969197,-14.385855917182711,25.582191563973986,-23.438843556675906,Normal Cornbelters,Clinton LumberKings 2025,,,,91703472-b632-4519-a074-9907bc36731b,76d6c941-b640-461c-be8e-ab34239467ea,80.26653663538296,5.127334965039733,4.637989035370754,1.284947659700977,-5.704820486634758,71.73152125701733,3.6608387580154615,0.7688275862947094,-4.713630677065742,-2.587467525935653,0.481080489583473,17.405439804494687,11.20547496831434,-10.73459914168347,89.29019354031314,1592.7445842200027,-301.9484783584494,98.25004987769132,-0.5173111403702049,-0.1862599524941337,-0.8352822362206449,,,,,,,,,,,,,,,,,0.9781876295969472,0.0,,,medium,high,9.638825813718215,81.29220228872782,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,102.1225292173581,0.0,,-1,-6.635239553039028,-4.999610267012809,9.771970855784172
3,07/01/2025,6:34:26 PM,2,2,Nicholas Currie,,Right,Normal cornbelters,Colin Coonradt,,Left,Clinton lumberkings 2025,,1,Top,1,1,0,Fastball,,StrikeCalled,,,,,,,85.84944544140393,-1.8516265683145463,-5.739895840214127,1951.6711653871723,228.4713674214474,1:30,5.707484923062815,4.42207093285882,6.000000192000004,-23.11569277659836,15.73236157181504,14.28917252547654,2.051012985981425,-0.2602943762001594,77.05589487344591,-6.214193200976945,-3.0451271162168263,0.4485967870603365,,,,,,,,,,,,-9.62917062314347,9.120318210772304,-3.9612517215021352,49.999999999999964,5.542435022292709,12.034021220620724,-124.129073728788,-4.749751328084491,-14.752416894135688,29.03094249725828,-18.201222463266184,Normal Cornbelters,Clinton LumberKings 2025,,,,91703472-b632-4519-a074-9907bc36731b,ea84d373-d285-49a0-994c-caf826ea94ff,86.08655348051788,5.707882529453381,4.429338521476697,-1.857373132874904,-5.826292659436082,77.24640203092531,2.051448315421052,0.2547332181982628,-6.205953414698478,-3.131126425614156,0.4484185451996072,15.108671098568207,14.558080250120703,-20.53659279535292,70.01372512666964,1827.6392074259484,-684.6570420898148,93.6448331993152,-0.6208598531445706,-0.3508055323213184,-0.7010481590062544,,,,,,,,,,,,,,,,,0.996856035877564,0.0,,,medium,high,26.987647385997285,-61.38479715574475,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,104.92090987077326,0.0,,-2,0.0,0.0,0.0
4,07/01/2025,6:34:42 PM,2,3,Nicholas Currie,,Right,Normal cornbelters,Colin Coonradt,,Left,Clinton lumberkings 2025,,1,Top,1,1,1,Changeup,,StrikeSwinging,,,,,,,80.3694570999164,-0.5883359236844493,-6.237193138457044,1615.6118239486332,236.85638940657464,2:00,5.452817454207497,4.312381231875816,6.000000192000004,-31.173185646258656,13.207125404872766,15.372547263011969,2.3049808834111585,0.2263881763531712,72.13632205112005,-6.468966511142158,-3.340879177227724,0.4794758009728364,,,,,,,,,,,,-10.388703977391229,7.336582076607118,-3.811234780221792,50.00000000000004,5.386524018030191,12.248544497868362,-116.15143108696866,-2.1039146767872605,-13.930768594455284,25.49374310133092,-22.336034429743027,Normal Cornbelters,Clinton LumberKings 2025,,,,91703472-b632-4519-a074-9907bc36731b,a40d40b2-3d8e-44ed-b382-20312a4ccc44,80.59348605043124,5.45101181887205,4.320185165159525,-0.5678618750295741,-6.330515656821243,72.31156587678424,2.307279098479409,-0.2325286062280862,-6.432665551899714,-3.4339290527633826,0.4792843398914422,16.258635614523918,11.59383740937606,-19.186679252984085,59.58529960895064,1525.869114443119,-530.9661112266974,94.4452802229326,-0.5163695877532213,-0.3286470817779673,-0.7907929845935625,,,,,,,,,,,,,,,,,0.994964310947675,0.0,,,medium,high,36.373230351944414,63.23661154087887,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,101.81722253917832,0.0,,-1,-6.304482107917735,-4.718814033677631,8.643319876965062
5,07/01/2025,6:34:57 PM,2,4,Nicholas Currie,,Right,Normal cornbelters,Colin Coonradt,,Left,Clinton lumberkings 2025,,1,Top,1,1,2,Changeup,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1.0,0.0,,80.92614542188278,-0.7504524198487087,-8.175435639996046,1633.1122575474892,237.9531030020424,2:00,4.894508318151264,5.552494115639699,6.000000192000004,-30.86011679795569,13.226065844365802,16.053605780971274,1.618164842692463,0.7598932348202309,72.62072990867463,-6.554135544495658,-5.173237484834588,0.4778843081264768,,,,,,,,,,,,-11.367496685031965,7.395531226646052,-4.891336609606305,50.00000000000004,4.814823015138564,16.26456214408077,-116.46581395665622,-2.4397945548477424,-15.351106961675857,25.30339751532805,-22.186838325305605,Normal Cornbelters,Clinton LumberKings 2025,,,,91703472-b632-4519-a074-9907bc36731b,cbd4cc4e-6560-4321-a5d5-17fd2a969dcf,81.15041116438088,4.892687416134568,5.560402948580741,-0.7296830636689332,-8.269477318701906,72.79691052791031,1.6204617499984462,-0.7661915467809679,-6.517809865072167,-5.267705362441588,0.4776982826705389,16.953841487257343,11.703169206608962,-16.74455100931158,58.50628121836774,1563.8662793017415,-470.5081361834072,95.75987640006224,-0.5081145636038588,-0.2881052015921969,-0.8116741852918445,,,,,,,,,,,,,,,,,0.9917598669402208,0.0,,,medium,high,37.34434690346901,70.74114796325368,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,101.75767547295402,0.0,0.0,-1,-5.747793785951359,-4.699873594184595,9.32437839492437
6,07/01/2025,6:35:24 PM,3,1,Nicholas Currie,,Right,Normal cornbelters,Jalen Martinez,,Right,Clinton lumberkings 2025,,1,Top,2,0,0,Slider,,BallCalled,,,,,,,80.49675488323092,-1.1977425304687763,-7.0019742634127065,2289.054237855564,261.2428518099833,2:45,5.293911891649682,4.560273916116614,6.000000192000004,-39.00630877743286,5.64256132614122,0.1722313091382623,0.9216837743836318,1.96555501464662,72.43582755292633,-8.506321567500619,-6.969668900004596,0.4809243414154449,,,,,,,,,,,,-2.5614380415137665,3.478657059414382,-3.9871742984545504,49.99999999999999,5.173095535368966,14.252608941258307,-116.08556669490352,-3.5701518405365884,-3.4087538467372287,26.743657695795417,-27.54466349874154,Normal Cornbelters,Clinton LumberKings 2025,,,,91703472-b632-4519-a074-9907bc36731b,ad48fc06-7447-48c9-a855-3942d63d3c37,80.72230692271538,5.288216819995234,4.565196740461206,-1.1313761216365643,-7.060506147292245,72.60759932263883,0.9271064525648472,-1.9691535666362203,-8.424047800690525,-7.023196631833692,0.480725458571936,0.7326951979936964,3.3396726947338915,-84.81663935250137,50.15603965586645,206.8008211045211,-2279.6935592826967,9.034334690918318,-0.013754475751378,-0.9959106785597024,-0.0892901715059265,,,,,,,,,,,,,,,,,0.9958468143410728,0.0,,,medium,high,44.85956430972018,50.39459968072149,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,101.8926953315846,0.0,,-1,-6.177184324603218,-12.283378112409178,-6.556996076908643
7,07/01/2025,6:35:45 PM,3,2,Nicholas Currie,,Right,Normal cornbelters,Jalen Martinez,,Right,Clinton lumberkings 2025,,1,Top,2,1,0,Fastball,,InPlay,,FlyBall,Out,1.0,0.0,,87.24070932940138,-1.2686117029612816,-5.182450010550051,2089.1668836152576,227.6048550722477,1:30,5.639360328806007,3.09782195128351,6.000000192000004,-21.442660714999363,16.10977035340246,14.506430269126644,2.6683990883657933,0.5230234373769123,78.18323321868166,-5.3237256583892005,-2.4417571060942422,0.4410527672136517,94.60716005273004,23.407948040990988,-8.663787348865162,1120.1228788917406,-15.571753062425936,108.89224263720844,42.13193906740597,341.64963235593484,,-8.244743621374479,4.135180058485212,-9.572942080481054,9.134241402244598,-2.6829456796037654,49.999999999999964,5.523149607186479,10.99670689371963,-126.28689213507036,-3.484067248835545,-15.169612447657656,30.2193149490191,-17.699617283946772,Normal Cornbelters,Clinton LumberKings 2025,,,,91703472-b632-4519-a074-9907bc36731b,0a6d58bd-b555-4ae3-88c2-bf1d938b5a6f,87.48463664720352,5.640285280917833,3.105375620475918,-1.2805547739815366,-5.271160685842535,78.3768747981337,2.668434916663295,-0.5287320772975036,-5.321783711858584,-2.528723196530524,0.4408730009792941,15.34492779724446,15.002708534465304,-19.99396766089612,92.85301559882944,1963.2499204684248,-714.3304679036246,93.97286238192058,-0.6336024494102845,-0.3419212096007818,-0.6940013130581425,-13.078362797318205,85.83025724396792,37.58507817231316,0.2815315372665677,3.479104701944584,3.0432400669011286,-48.993182384902624,338.11852857946883,-6.952147675982287,57.94273185013082,1.0697556553021346,0.9529200873291728,0.3032178876659321,-0.0014898872345753,,,0.9878729208324454,0.0,0.9790736217040328,54.077261985205006,medium,high,6.43228596105325,-28.370431912084324,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,105.05589803973504,0.6666666666666666,0.6546000000000001,-1,0.0,0.0,0.0
8,07/01/2025,6:37:48 PM,1,1,Brody Meyers,,Right,Clinton lumberkings 2025,Tyler Thompson,,Right,Normal cornbelters,,1,Bottom,0,0,0,Fastball,,BallCalled,,,,,,,88.45986001684038,-2.921645286932772,-4.678060592689033,1898.944244861032,191.3434930246144,12:30,5.700141467946382,2.471103372132041,6.000000192000004,-17.1206556854987,19.45886616052077,2.5282022146653165,1.5466216705449425,1.6756600431557775,79.43114484220511,-6.144913586277977,-4.200829529885033,0.4353018717262198,,,,,,,,,,,,-2.9418139788776267,11.508904468400198,-2.090670033093992,49.99999999999999,5.451237026642724,10.393858888924408,-128.0049332453262,-7.101377891664731,-4.784496738352547,31.29410005557773,-13.456239321164633,Normal Cornbelters,Clinton LumberKings 2025,,,,91703472-b632-4519-a074-9907bc36731b,a69833d4-3139-462c-a164-262e620c1c19,88.71872825522264,5.702177682226847,2.473187023918857,-2.946875226069473,-4.702669418935868,79.64559946511254,1.5457561740027626,-1.6772726944466851,-6.156491498182007,-4.224907502631902,0.4351078422285568,2.760149514071889,18.462911027137817,-34.220507595122854,69.88753369324971,1570.197753571283,-1067.9270854185368,82.68793345673996,-0.8107267710112386,-0.5623793791253147,-0.1626392840008723,,,,,,,,,,,,,,,,,0.9970261065208804,0.0,,,medium,high,27.101219676075253,74.03145785583632,54.667001749344,Bryk Barnard,,Clinton lumberkings 2025,2022-11,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,105.11793935360495,0.0,,-1,0.0,0.0,0.0
9,07/01/2025,6:37:59 PM,1,2,Brody Meyers,,Right,Clinton lumberkings 2025,Tyler Thompson,,Right,Normal cornbelters,,1,Bottom,0,1,0,Fastball,,BallCalled,,,,,,,89.80530333611631,-3.336846818046867,-5.112957602792969,2011.578659957276,195.0370920342912,12:30,5.526654490433919,3.670203668485061,6.000000192000004,-16.30429633916113,19.24582105697203,3.4503153497839776,1.050804357277208,0.8068747087955371,80.66093682053243,-6.403072221270212,-4.46247028285642,0.4291331277811296,,,,,,,,,,,,-3.579889530902917,11.528559359805437,-3.2546210818934287,50.00000000000002,5.244006958298164,11.503985729287177,-129.8203369967098,-8.127536999189214,-5.991568945900551,32.06369489808162,-12.878996580898033,Normal Cornbelters,Clinton LumberKings 2025,,,,91703472-b632-4519-a074-9907bc36731b,bbe9aa31-cb7b-40ee-9d2b-76caac0b8578,90.06502945062002,5.528860664826187,3.672722228945129,-3.3640340247368687,-5.142742286421546,80.87661738082583,1.0497767116903944,-0.808832155504613,-6.41705186969809,-4.491798585897073,0.4289456466837977,3.7314586092042727,18.326069837263777,-36.237866916793536,64.20037285519608,1622.4785972418058,-1189.1223262086091,80.65697998984864,-0.7789512933539193,-0.5911388651507492,-0.2092599452607708,,,,,,,,,,,,,,,,,0.9911458077795198,0.0,,,medium,high,32.2196644303235,27.781932784008152,54.667001749344,Bryk Barnard,,Clinton lumberkings 2025,2022-11,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,104.97758111187161,0.0,,-1,0.0,0.0,0.0
10,07/01/2025,6:38:10 PM,1,3,Brody Meyers,,Right,Clinton lumberkings 2025,Tyler Thompson,,Right,Normal cornbelters,,1,Bottom,0,2,0,Fastball,,Foul,,,,,,,89.91826939961912,-2.353836035193213,-5.519125970453313,2027.849205985588,194.43292030414565,12:30,5.703205479463012,4.284990458563445,6.000000192000004,-15.117224597385665,20.34712804908625,3.92758147045463,2.2443702749261667,0.5330760840969475,80.60103357684238,-5.20441111865756,-4.779273478268915,0.4286151728132669,79.22892178304826,24.00918616868173,68.15790078515603,,101.98040561089458,41.23101831665289,31.76537191717437,227.47161993180504,,68.0749438986432,2.742126736835249,-3.984027020005803,11.798999265597311,-3.836312661896685,49.999999999999964,5.501714070554756,12.434410045484988,-130.00397378018522,-5.858909833081854,-6.683206434407429,32.2896351386282,-12.381225035504446,Normal Cornbelters,Clinton LumberKings 2025,,,,91703472-b632-4519-a074-9907bc36731b,76fdd98a-b63b-4e99-a168-9358bd0962e7,90.18086102939876,5.706010860719652,4.287504994987883,-2.3880484339954555,-5.548764691739235,80.81868291965971,2.242954701490152,-0.5349426086567166,-5.225303555055532,-4.808578608527896,0.4284300814052408,4.208664141007552,19.476212044563965,-30.31472430089065,65.99069846501047,1750.5729936184357,-1023.555858871496,86.32658623980927,-0.8360212885375964,-0.5047494931330564,-0.2151658762300837,67.1785165621197,26.92676381246389,32.2369097465184,1.2706633230488746,1.7525641972846322,2.6111601723300737,211.01929221253147,84.93642439214051,,,,,,,,,0.7994842766244192,0.0,,33.73775045547168,medium,high,30.60837138149056,20.648570734775184,54.667001749344,Bryk Barnard,,Clinton lumberkings 2025,2022-11,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,104.91339525976599,0.0,,-2,0.0,0.0,0.0
