#,order,player_name,position
1,10,Shea Zbrozek,if
2,7,Charlie Graham,c
3,8,Michael Kuska,of
4,1,Caleb Royer,if
5,9,Nolan Mccrossin,if
6,5,Jackson Stanek,if
7,2,Cole Freeman,of
8,4,Jack Novak,of
9,3,Jackson Smith,if
will produce 2.924 expected runs per game!
