#,order,player_name,position
1,12,Thomas Mickels,of
2,11,Owen Shissler,if
3,15,Braden Mehn,of
4,5,Kaiden Maurer,if
5,10,Lawson Alwan,c
6,3,Tyler Pippin,if
7,9,Jake Parpet,c
8,7,Taylor Vorhees,if
9,1,Jaxson Grubbs,if
will produce 6.030 expected runs per game!
