#,order,player_name,position
1,5,Kam Ross,
2,12,Drew Wichtowski,c
3,8,Adan Nieves,of
4,15,Lucas Rink,if
5,9,Brandon Schultz,of
6,13,Gabe Peters,if
7,10,Cameron Heinold,if
8,1,Gavin Bailey,of
9,2,Trey Thompson,of
will produce 4.399 expected runs per game!
