Pitcher,Average Stuff+
Joey Kahwaji,117.87
Brett Granger,111.49
Cole Mcclusky,111.46
Trey Blanchette,110.98
Cayden Rose,110.97
Matt Cuzco,109.72
Cooper Stolfa,109.68
Gage Allen,109.42
Jared Rodriguez,109.36
Nolan Bowles,109.25
Caleb Ochs,109.25
Brennan Tomhave,109.18
Ben Fawcett,109.14
Caleb Everson,109.11
Nolan Vanduzer,109.09
