Pitcher,Average Stuff+
Joey Kahwaji,117.87
Brett Granger,111.49
Cole Mcclusky,111.46
Trey Blanchette,110.98
Cayden Rose,110.97
Cooper Stolfa,109.68
Nolan Bowles,109.25
Caleb Ochs,109.25
Brennan Tomhave,109.18
Nolan Vanduzer,109.09
Brandon Ward,109.05
Andrew Tay,108.88
Bob Tomhave,108.79
Jack Stellano,108.76
Patrick Kennedy,108.73
