Batter,xBA
Caleb Royer,0.3016036571934819
Charlie Graham,0.11264098016545174
Cole Freeman,0.37554796192368184
Jack Novak,0.3422315197863749
Jackson Smith,0.32173833946581
Jackson Stanek,0.20023663341999054
Kannan Kleine,0.09892406314611435
Michael Kuska,0.16084880164513984
Nolan Mccrossin,0.2772454546454052
Ryan Colucci,0.003014964982867225
Shea Zbrozek,0.46486773565411565
Tyler Thompson,0.4022896469316699
Zach Zychowski,0.22383899393801887
