PlayResult,TaggedHitType,ExitSpeed,Angle,xSLG
0,Popup,,,0.00017920511891134083
0,GroundBall,,,1.5019162893295288
0,Popup,,,0.00017920511891134083
0,GroundBall,,,1.5019162893295288
1,LineDrive,,,3.7046761512756348
0,Popup,,,0.00017920511891134083
0,LineDrive,,,3.7046761512756348
0,FlyBall,,,2.4264326095581055
1,GroundBall,,,1.5019162893295288
0,Popup,,,0.00017920511891134083
1,LineDrive,,,3.7046761512756348
1,LineDrive,,,3.7046761512756348
2,LineDrive,,,3.7046761512756348
2,LineDrive,,,3.7046761512756348
0,FlyBall,,,2.4264326095581055
1,GroundBall,,,1.5019162893295288
2,FlyBall,,,2.4264326095581055
1,LineDrive,,,3.7046761512756348
0,GroundBall,,,1.5019162893295288
0,FlyBall,,,2.4264326095581055
2,LineDrive,,,3.7046761512756348
0,LineDrive,,,3.7046761512756348
1,GroundBall,,,1.5019162893295288
4,LineDrive,,,3.7046761512756348
0,GroundBall,,,1.5019162893295288
0,FlyBall,,,2.4264326095581055
1,GroundBall,,,1.5019162893295288
2,GroundBall,,,1.5019162893295288
0,Popup,,,0.00017920511891134083
0,FlyBall,,,2.4264326095581055
0,Popup,,,0.00017920511891134083
0,GroundBall,,,1.5019162893295288
0,GroundBall,,,1.5019162893295288
0,Popup,,,0.00017920511891134083
2,GroundBall,,,1.5019162893295288
0,GroundBall,,,1.5019162893295288
0,Popup,,,0.00017920511891134083
1,LineDrive,,,3.7046761512756348
0,FlyBall,,,2.4264326095581055
1,LineDrive,,,3.7046761512756348
0,GroundBall,,,1.5019162893295288
0,FlyBall,,,2.4264326095581055
0,LineDrive,,,3.7046761512756348
1,GroundBall,,,1.5019162893295288
0,Popup,,,0.00017920511891134083
1,LineDrive,,,3.7046761512756348
0,Popup,,,0.00017920511891134083
0,GroundBall,,,1.5019162893295288
0,Popup,61.96891,49.568976,-0.0006165909580886364
0,GroundBall,100.39463,-3.690856,0.005057895090430975
0,Popup,84.82261,71.711779,6.669801950920373e-05
0,Popup,70.29028,46.500886,0.000882766384165734
1,LineDrive,68.9466,16.696986,0.9870073795318604
0,LineDrive,63.31204,14.130529,0.0030621523037552834
0,GroundBall,88.76502,8.878401,-0.16213099658489227
2,GroundBall,97.16336,-1.295859,1.8224221467971802
0,Bunt,37.55863,-46.551964,
0,FlyBall,83.05894,34.191501,0.002479193964973092
0,GroundBall,108.72281,-10.458696,0.00716222170740366
0,GroundBall,66.77665,-51.37869,-0.003313658991828561
1,GroundBall,,,1.5019162893295288
0,GroundBall,89.68045,-21.10297,0.07053195685148239
2,FlyBall,99.2574,27.983784,1.9758429527282715
0,GroundBall,96.55515,-19.21179,0.016883600503206253
1,GroundBall,99.85635,-19.635379,1.0193952322006226
1,GroundBall,93.41185,-10.49434,0.8531385660171509
2,LineDrive,87.19641,14.141645,1.9262864589691162
0,GroundBall,80.79625,-57.739553,0.06510333716869354
1,LineDrive,92.95826,9.966661,0.9886534810066223
1,GroundBall,100.43622,-0.802263,0.9834901094436646
0,GroundBall,37.03792,-68.239063,0.004451386630535126
0,GroundBall,65.06274,-5.026517,0.00232510338537395
0,GroundBall,66.88818,3.532596,-0.0128621282055974
2,LineDrive,89.72174,17.344528,1.9783223867416382
0,FlyBall,84.68981,35.796853,-0.020438583567738533
0,FlyBall,95.68525,23.565483,0.00698051368817687
0,LineDrive,93.96139,27.498451,0.00269126845523715
2,LineDrive,92.64661,14.783578,1.9854997396469116
0,GroundBall,95.88749,-20.438924,0.017254559323191643
0,FlyBall,99.6523,44.470262,-0.0016807839274406433
0,LineDrive,96.24043,15.517747,0.03213247284293175
0,GroundBall,,,1.5019162893295288
1,GroundBall,95.42492,7.937588,0.9834561944007874
0,GroundBall,105.77022,6.734626,0.0016237737145274878
0,FlyBall,83.79983,24.016482,0.006426501087844372
1,GroundBall,86.66276,-6.714161,0.9347802400588989
0,GroundBall,85.09163,-7.538892,0.03932756930589676
0,GroundBall,88.93696,2.338246,0.2330314666032791
0,Popup,77.59494,65.842941,-0.00017665763152763247
0,GroundBall,87.0299,-21.966871,0.010300081223249435
0,LineDrive,83.70847,22.531374,0.002381258876994252
1,GroundBall,82.58391,-9.216773,0.9541539549827576
1,LineDrive,93.28615,23.971313,0.9986525774002075
1,LineDrive,96.53058,11.229035,0.9798147678375244
1,GroundBall,108.23161,0.724345,0.9379554390907288
3,FlyBall,97.41261,24.638986,2.9184377193450928
0,GroundBall,76.18962,-1.884984,-0.008905242197215557
0,GroundBall,108.39018,-3.672357,0.030534392222762108
2,LineDrive,88.42857,18.03084,1.9135754108428955
0,GroundBall,64.60202,-34.869735,0.05242673307657242
0,GroundBall,79.01803,-37.353108,0.03794841095805168
1,Bunt,,,
0,GroundBall,90.36546,-27.327797,0.029226716607809067
0,GroundBall,100.40512,-15.366534,0.6911996006965637
0,GroundBall,,,1.5019162893295288
0,FlyBall,111.0542,21.994324,0.006185146048665047
4,LineDrive,103.63153,20.883443,3.9664418697357178
1,LineDrive,108.66391,12.115342,0.7314789891242981
0,Popup,84.58743,68.275319,6.669801950920373e-05
2,LineDrive,77.88996,26.644701,1.9699714183807373
0,GroundBall,95.1271,3.142723,0.14807774126529694
1,GroundBall,105.21806,4.019618,1.0514618158340454
2,LineDrive,98.2147,18.411501,1.948035478591919
1,GroundBall,97.63967,1.895998,0.9192352294921875
0,GroundBall,,,1.5019162893295288
0,Popup,87.42158,57.479562,6.669801950920373e-05
0,Popup,93.83092,60.201616,0.00017920511891134083
2,LineDrive,111.71391,20.794739,3.1500558853149414
2,LineDrive,108.76922,14.121217,1.1946191787719727
1,LineDrive,82.34952,10.836901,0.9701642990112305
1,GroundBall,92.06138,-3.899168,0.27695462107658386
0,Popup,61.43689,26.597203,-0.00043307917076162994
0,LineDrive,99.52191,15.807582,-0.007146529853343964
0,FlyBall,97.77342,40.049683,0.0035500351805239916
0,LineDrive,98.4586,18.855353,0.059288185089826584
0,GroundBall,71.0228,-43.581252,0.002062159590423107
1,GroundBall,73.09544,-20.051435,1.0102591514587402
4,LineDrive,102.15663,23.252868,3.9983468055725098
1,GroundBall,85.03141,3.821859,0.8920877575874329
0,LineDrive,95.34845,18.687213,0.008944930508732796
0,GroundBall,66.65905,-68.317723,0.014219896867871284
4,LineDrive,99.07808,23.909562,3.9825077056884766
2,GroundBall,102.30455,5.53085,1.8623988628387451
2,LineDrive,102.75968,17.624323,1.9870115518569946
1,GroundBall,105.1868,1.723274,1.0092003345489502
0,FlyBall,78.47039,44.36217,0.004567780531942844
0,LineDrive,102.86549,17.261233,0.0005818803329020739
1,LineDrive,105.40218,11.540449,1.0213344097137451
0,LineDrive,95.50748,8.137709,0.022630903869867325
0,Popup,79.80292,74.494651,0.00019939235062338412
1,LineDrive,101.66734,8.161923,0.9067708849906921
1,GroundBall,96.83728,-5.057484,0.9956316351890564
0,FlyBall,87.52198,25.68793,0.016127943992614746
1,GroundBall,93.3971,-3.113714,1.0050655603408813
2,FlyBall,99.62232,24.314695,2.0037927627563477
0,GroundBall,75.80192,-36.264783,-0.013878907077014446
1,GroundBall,104.54688,-0.812025,0.1656373292207718
0,Popup,87.76508,57.916738,6.669801950920373e-05
1,Bunt,21.29214,3.658743,
2,LineDrive,102.18028,17.880735,2.005586624145508
1,GroundBall,62.80815,-53.478023,0.8719837069511414
0,GroundBall,66.27265,0.002284,0.0042522200383245945
0,Popup,61.78479,58.473602,2.8937791284988634e-05
0,FlyBall,97.41505,29.402719,0.09930068999528885
1,GroundBall,94.6433,1.195286,0.9803248047828674
2,LineDrive,100.7033,10.878119,1.9607998132705688
1,LineDrive,98.76954,6.853373,0.9991101026535034
0,FlyBall,100.52247,31.74059,0.058882854878902435
0,FlyBall,85.2059,23.316992,-0.009598041884601116
0,GroundBall,115.58638,-46.546046,0.00345771131105721
0,GroundBall,87.32302,-15.654976,0.0518697090446949
1,GroundBall,50.43467,-70.055259,0.9950919151306152
0,GroundBall,97.11731,6.195518,0.009592811577022076
0,Popup,49.65803,66.229636,2.202076393587049e-05
2,LineDrive,87.30283,12.51066,1.9071370363235474
0,FlyBall,73.51827,45.210981,-0.002275670412927866
1,LineDrive,101.87846,12.143022,1.0258142948150635
0,FlyBall,89.82116,36.651932,-0.023191142827272415
1,LineDrive,87.19794,15.504352,1.1444590091705322
0,Popup,74.42971,64.81604,-0.0003055408305954188
0,FlyBall,85.25264,46.985355,-0.02090432122349739
0,Popup,69.03386,81.070409,-0.00042489368934184313
1,GroundBall,93.55185,1.314032,0.939186692237854
0,GroundBall,80.29208,-24.997696,-0.014478230848908424
